icd9v6.01编码,实际操作名称v6.01,属性v6.01,录入选项v6.01
02.32002,脑室-腔静脉分流术,,必选
02.32003,脑室-心房分流术,,必选
02.33001,脑室-胸腔分流术,,必选
02.34001,脑室-胆囊分流术,,必选
02.34002,脑室-腹腔分流术,,必选
02.35001,脑室-输尿管分流术,,必选
02.39004,脑室-骨髓分流术,,必选
02.41001,脑室分流管冲洗术,,必选
02.41003,脑室分流管探查术,,必选
02.42002,脑室分流管置换术,,必选
02.42003,脑室-腹腔分流管脑室端调整术,,必选
02.42004,脑室分流管修正术,,必选
02.43001,脑室分流管去除术,,必选
02.91001,大脑皮层粘连松解术,,必选
02.93002,颅内神经电刺激器置入术,,必选
02.93003,颅内神经电刺激器置换术,,必选
02.94001,颅钳插入术,,必选
02.94002,环状钳插入术,,必选
02.94003,颅钳置换术,,必选
02.94004,环状钳置换术,,必选
02.95001,颅钳牵引装置去除术,,必选
02.95002,环状钳牵引装置去除术,,必选
02.96001,蝶骨电极插入术,,必选
02.99001,导水管粘连松解术,,必选
03.01001,椎管内异物去除术,,必选
03.01002,椎管内病损切除术,,必选
03.01003,神经内镜下椎管内病损切除术,,必选
03.01004,椎管内外病损切除术,,必选
03.01005,椎管外神经根病损切除术,,必选
03.02001,椎板切除术部位再切开,,必选
03.09003,颈椎后路单开门椎管减压术,,必选
03.09004,颈椎后路双开门椎管减压术,,必选
03.09005,颈椎前路椎管减压术,,必选
03.09006,腰椎椎板切除减压术,,必选
03.09007,胸椎椎板切除减压术,,必选
03.09009,椎管成形术,,必选
03.09010,椎管减压术,,必选
03.09014,椎管钻孔减压术,,必选
03.09015,椎管探查术,,必选
03.09016,椎间孔切开术,,必选
03.09018,脊髓背根入髓区切开术,,必选
03.09019,脊髓后正中点状切开术,,必选
03.09020,脊髓神经根探查术,,必选
03.09021,颈椎椎间孔钻孔减压术,,必选
03.1 001,椎管内神经根切断术,,必选
03.1 003,马尾神经切断术,,必选
03.21001,经皮脊髓切断术,,必选
03.21002,立体定向脊髓切断术,,必选
03.29001,脊髓前外侧束切断术,,必选
03.29002,脊髓神经束切断术,,必选
03.29003,脊髓前连合切断术,,必选
03.29004,脊髓前连合切开术,,必选
03.31002,腰椎穿刺,诊断性操作,必选
03.32001,脊髓活检,诊断性操作,必选
03.32002,硬脊膜活检,诊断性操作,必选
03.4 002,脊髓病损栓塞术,,必选
03.4 003,硬脊膜囊肿造袋术,,必选
03.4 004,硬脊膜切除术,,必选
03.4 007,脊髓脊膜病损电凝破坏术,,必选
03.51003,脑脊膜膨出修补术,,必选
03.52001,脊髓脊膜膨出修补术,,必选
03.52003,脊髓外露修补术,,必选
03.53001,脊椎骨折复位术,,必选
03.53002,脊椎骨折修补术,,必选
03.59003,脊髓纵裂修补术,,必选
03.59004,脊柱裂修补术,,必选
03.59005,硬脊膜修补术,,必选
03.6 001,脊髓蛛网膜粘连松解术,,必选
03.6 005,脊髓神经根粘连松解术,,必选
03.6 007,脊髓粘连松解术,,必选
03.6 008,脊髓终丝切断术,,必选
03.6 010,脊髓脊膜松解术,,必选
03.6 011,脊髓栓系松解术,,必选
03.71001,脊髓蛛网膜下腔-腹腔分流术,,必选
03.72001,脊髓蛛网膜下腔-输尿管分流术,,必选
03.79001,脊髓-硬膜外分流术,,必选
03.79002,脊髓-蛛网膜下腔分流术,,必选
03.8 002,椎管内注射无水酒精,治疗性操作,必选
03.90001,连续硬膜外阻滞术,治疗性操作,必选
03.91002,椎管内置管止痛术,治疗性操作,必选
03.91004,椎管内止痛剂注入术,治疗性操作,必选
03.92001,椎管内注射封闭,治疗性操作,必选
03.93001,脊髓电刺激器置入术,,必选
03.94001,骶神经电刺激器取出术,,必选
03.95001,脊髓血块补片,,必选
03.96001,经皮椎骨关节面去神经术,,必选
03.97001,脊髓膜分流修正术,,必选
03.98001,脊髓蛛网膜下腔-腹腔分流管去除术,,必选
03.99003,脊髓造瘘术,,必选
03.99004,脊髓切开引流术,,必选
04.01001,听神经病变切除术,,必选
04.01003,听神经切断术,,必选
04.01004,前庭神经切断术,,必选
04.01005,经迷路内听道前庭神经切除术,,必选
04.01006,经迷路内听道听神经瘤切除术,,必选
04.01007,乙状窦后入路听神经切除术,,必选
04.02001,经颞下三叉神经根切断术[Frazier手术],,必选
04.02004,经后颅窝三叉神经感觉根切断术,,必选
04.02005,三叉神经感觉根部分切断术,,必选
04.03002,闭孔神经切断术,,必选
04.03003,脊神经根切断术,,必选
04.03004,胫神经肌支切断术,,必选
04.03005,颅神经切断术,,必选
04.03007,指神经切断术,,必选
04.03009,颈神经后根切断术,,必选
04.03010,腰骶神经后根切断术,,必选
04.03011,运动神经切断术,,必选
04.03012,坐骨神经切断术,,必选
04.03015,趾神经切断术,,必选
04.03016,周围神经切断术,,必选
04.03017,面神经切断术,,必选
04.04001,臂丛神经探查术,,必选
04.04002,尺神经探查术,,必选
04.04003,股神经探查术,,必选
04.04004,喉返神经探查术,,必选
04.04005,胫神经探查术,,必选
04.04006,颅神经探查术,,必选
04.04007,面神经探查术,,必选
04.04009,桡神经探查术,,必选
04.04011,正中神经探查术,,必选
04.04012,指神经探查术,,必选
04.04013,足底神经探查术,,必选
04.04014,坐骨神经探查术,,必选
04.04018,腋神经探查术,,必选
04.04019,肌皮神经探查术,,必选
04.04020,肩胛上神经探查术,,必选
04.04021,副神经探查术,,必选
04.04022,骶丛神经探查术,,必选
04.04023,腰丛神经探查术,,必选
04.04024,腓总神经探查术,,必选
04.04025,牙槽神经探查术,,必选
04.04026,膈神经探查术,,必选
04.04027,颈丛神经探查术,,必选
04.04028,肋间神经探查术,,必选
04.04029,胸背神经探查术,,必选
04.04030,周围神经探查术,,必选
04.05001,半月神经节切除术,,必选
04.07002,鼓室神经丛切除术,,必选
04.07003,滑车神经撕脱术,,必选
04.07005,颈神经病损切除术,,必选
04.07007,眶上神经撕脱术,,必选
04.07008,眶下神经撕脱术,,必选
04.07009,肋间神经切除术,,必选
04.07010,颅神经病损切除术,,必选
04.07014,面神经病损切除术,,必选
04.07015,周围神经病损切除术,,必选
04.07022,视神经病损切除术,,必选
04.07023,视神经切除术,,必选
04.07026,颅神经切除术,,必选
04.07027,周围神经切除术,,必选
04.07028,三叉神经撕脱术,,必选
04.07029,坐骨神经病损切除术,,必选
04.07030,神经内镜下经鼻腔视神经管减压术,,必选
04.11001,闭合性颅神经活检,诊断性操作,必选
04.11002,闭合性周围神经活检,诊断性操作,必选
04.12001,直视下颅神经活检术,,必选
04.12002,直视下周围神经活检术,,必选
04.2 001,肋间神经冷冻镇痛术,,必选
04.2 002,肋间神经射频消融术,,必选
04.2 003,周围神经破坏术,,必选
04.2 004,三叉神经射频消融术,,必选
04.2 007,翼腭神经节破坏术,,必选
04.2 008,脊神经破坏术,,必选
04.2 009,周围神经神经烧灼术,,必选
04.2 010,经皮腹腔神经丛射频消融术,治疗性操作,必选
04.2 011,脊神经根射频消融术,,必选
04.2 012,骶神经根囊肿穿刺充填术,治疗性操作,必选
04.2 013,腹膜后无水酒精神经阻滞术,治疗性操作,必选
04.2 014,腹腔神经阻滞术,治疗性操作,必选
04.2 015,经皮肾动脉去交感神经射频消融术,治疗性操作,必选
04.2 016,超声内镜下腹腔神经丛阻滞术(CPN),治疗性操作,必选
04.3 001,闭孔神经缝合术,,必选
04.3 002,尺神经缝合术,,必选
04.3 004,颅神经缝合术,,必选
04.3 006,正中神经缝合术,,必选
04.3 007,指神经缝合术,,必选
04.3 008,腓神经缝合术,,必选
04.3 009,肌皮神经缝合术,,必选
04.3 011,臂丛神经吻合术,,必选
04.3 012,臂丛神经上、中、下干缝合术,,必选
04.3 013,桡神经缝合术,,必选
04.3 014,胫神经缝合术,,必选
04.3 015,骶丛神经缝合术,,必选
04.3 016,腰丛神经缝合术,,必选
04.3 017,腓肠神经吻合术,,必选
04.3 018,腋神经吻合术,,必选
04.3 019,下颌神经吻合术,,必选
04.3 020,隐神经吻合术,,必选
04.3 021,隐神经修复术,,必选
04.3 022,周围神经缝合术,,必选
04.3 023,马尾神经缝合术,,必选
04.3 024,皮神经缝合术,,必选
04.3 025,耳大神经吻合术,,必选
04.3 026,腓总神经吻合术,,必选
04.3 027,股神经吻合术,,必选
04.3 028,迷走神经干吻合术,,必选
04.3 029,面神经吻合术,,必选
04.3 030,牙槽神经吻合术,,必选
04.3 031,坐骨神经吻合术,,必选
04.41003,三叉神经减压术,,必选
04.42001,副神经减压术,,必选
04.42004,迷走神经减压术,,必选
04.42005,面神经解剖术,,必选
04.42006,经后颅窝面神经减压术,,必选
04.42007,枕下神经减压术,,必选
04.42008,舌咽神经减压术,,必选
04.42009,视神经减压术,,必选
04.42010,听神经减压术,,必选
04.42012,鼻内窥镜下视神经减压术,,必选
04.42013,听神经根粘连松解术,,必选
04.42014,面神经根粘连松解术,,必选
04.42015,三叉神经根粘连松解术,,必选
04.43001,关节镜下腕管松解术,,必选
04.43004,腕管松解术,,必选
04.44002,跗管松解术,,必选
04.49002,臂丛神经松解术,,必选
04.49005,尺神经松解术,,必选
04.49006,骶神经松解术,,必选
04.49007,腓神经松解术,,必选
04.49009,腓总神经松解术,,必选
04.49011,喉返神经松解术,,必选
04.49012,胫神经松解术,,必选
04.49013,马尾神经松解术,,必选
04.49017,桡神经松解术,,必选
04.49018,舌神经根松解术,,必选
04.49019,神经根管松解术,,必选
04.49024,正中神经松解术,,必选
04.49025,跖间神经松解术,,必选
04.49026,趾间神经松解术,,必选
04.49030,足神经松解术,,必选
04.49031,坐骨神经松解术,,必选
04.49032,腰丛神经松解术,,必选
04.49033,腓浅神经松解术,,必选
04.49034,腓深神经松解术,,必选
04.49035,腋神经松解术,,必选
04.49036,股神经松解术,,必选
04.49037,胫后神经松解术,,必选
04.49038,迷走神经根粘连松解术,,必选
04.49041,指神经松解术,,必选
04.49042,周围神经松解术,,必选
04.5 001,尺神经移植术,,必选
04.5 002,腓肠神经移植术,,必选
04.5 005,颅神经移植术,,必选
04.5 007,面神经移植术,,必选
04.5 009,耳大神经移植术,,必选
04.5 011,桡神经移植术,,必选
04.5 012,臂丛神经移植术,,必选
04.5 013,坐骨神经移植术,,必选
04.5 014,腓总神经移植术,,必选
04.5 015,股神经移植术,,必选
04.5 016,周围神经移植术,,必选
04.6 001,肋间神经移位术,,必选
04.6 002,尺神经移位术,,必选
04.6 005,指神经移位术,,必选
04.6 006,正中神经移位术,,必选
04.6 007,胸背神经移位术,,必选
04.6 008,副神经移位术,,必选
04.6 009,膈神经移位术,,必选
04.6 010,同侧脊神经根移位术,,必选
04.6 011,健侧颈7神经移位术,,必选
04.6 012,闭孔神经移位术,,必选
04.6 013,尺神经部分神经束移位术,,必选
04.6 014,尺神经前移术,,必选
04.6 015,肱三头肌支移位术,,必选
04.6 016,颈丛神经移位术,,必选
04.6 017,脑神经移位术,,必选
04.6 018,桡神经浅支移位术,,必选
04.6 019,正中神经部分神经束移位术,,必选
04.6 020,周围神经移位术,,必选
04.71001,舌下神经-面神经吻合术,,必选
04.72001,面神经-副神经吻合术,,必选
04.73001,副神经-舌下神经吻合术,,必选
04.74031,面神经-膈神经吻合术,,必选
04.74032,面神经-三叉神经吻合术,,必选
04.75001,颅神经调整术,,必选
04.75002,周围神经调整术,,必选
04.75003,正中神经调整术,,必选
04.76002,尺神经延迟修补术,,必选
04.76003,桡神经延迟修补术,,必选
04.76004,皮神经延迟修补术,,必选
04.81003,周围神经麻醉止痛,治疗性操作,必选
04.91001,神经牵伸术,,必选
04.92002,骶神经电刺激器置入术,,必选
04.92003,周围神经电刺激器置入术,,必选
04.92004,周围神经电刺激器置换术,,必选
04.93001,周围神经电刺激器去除术,,必选
05.0 001,交感神经切断术,,必选
05.0 003,腔镜下交感神经切断术,,必选
05.11001,交感神经活检术,,必选
05.11002,交感神经节活检术,,必选
05.21001,蝶腭神经节切除术,,必选
05.22001,颈交感神经切断术,,必选
05.23001,腔镜下腰交感神经切除术,,必选
05.23002,腰交感神经切除术,,必选
05.24001,骶前交感神经切除术,,必选
05.29002,胸交感神经切除术,,必选
05.29004,胸腔镜下胸交感神经部分切除术,,必选
05.31003,交感神经麻醉剂注射止痛,治疗性操作,必选
05.31006,星状神经节阻滞术,治疗性操作,必选
05.32001,交感神经注射破坏剂,治疗性操作,必选
05.81001,交感神经修补术,,必选
05.81002,交感神经节修补术,,必选
05.89001,交感神经瘤切除术,,必选
06.01001,甲状腺区抽吸引流术,治疗性操作,必选
06.02001,甲状腺术后探查止血术,,必选
06.09001,甲状腺切开探查术,,必选
06.09002,甲状腺切开引流术,,必选
06.09004,颈部探查术,,必选
06.09005,甲状旁腺探查术,,必选
06.11001,甲状腺穿刺活检,诊断性操作,必选
06.12001,直视下甲状腺活检术,,必选
06.13001,甲状旁腺活检,诊断性操作,必选
06.2 001,单侧甲状腺切除术,,必选
06.2 003,腔镜下单侧甲状腺切除术,,必选
06.2 005,单侧甲状腺切除伴其他叶部分切除术,,必选
06.2 006,单侧甲状腺切除伴甲状腺峡部切除术,,必选
06.2 011,单侧甲状腺切除伴峡部和其他叶部分切除术,,必选
06.31001,甲状腺病损切除术,,必选
06.31003,腔镜下甲状腺病损切除术,,必选
06.39001,残余甲状腺大部切除术,,必选
06.39002,残余甲状腺切除术,,必选
06.39003,单侧甲状腺部分切除术,,必选
06.39004,单侧甲状腺次全切除术,,必选
06.39006,甲状腺峡部部分切除术,,必选
06.39009,异位甲状腺切除术,,必选
06.39010,腔镜下甲状腺部分切除术,,必选
06.39011,腔镜下甲状腺次全切除术,,必选
06.39012,双侧甲状腺部分切除术,,必选
06.39013,双侧甲状腺次全切除术,,必选
06.4 003,双侧甲状腺全部切除术,,必选
06.4 005,腔镜下双侧甲状腺全部切除术,,必选
06.51001,胸骨后甲状腺病损切除术,,必选
06.51002,胸骨后甲状腺部分切除术,,必选
06.52001,胸骨后甲状腺全部切除术,,必选
06.6 001,舌部甲状腺切除术,,必选
06.7 001,甲状舌管病损切除术,,必选
06.7 003,甲状舌管瘘闭合术,治疗性操作,必选
06.7 005,甲状舌管切除术,,必选
06.81001,甲状旁腺全部切除术,,必选
06.81002,腔镜下甲状旁腺全部切除术,,必选
06.89001,甲状旁腺病损切除术,,必选
06.89002,甲状旁腺部分切除术,,必选
06.89004,腔镜下甲状旁腺病损切除术,,必选
06.89005,移植自体甲状旁腺切除术,,必选
06.89006,异位甲状旁腺切除术,,必选
06.91001,甲状腺峡部横断术,,必选
06.92001,甲状腺血管结扎术,,必选
06.93001,甲状腺缝合术,,必选
06.94001,甲状腺自体移植术,,必选
06.95001,甲状旁腺自体移植术,,必选
06.99002,超声引导下甲状旁腺射频消融术,治疗性操作,必选
07.01001,单侧肾上腺区探查术,,必选
07.02001,双侧肾上腺区探查术,,必选
07.11001,肾上腺闭合性活检,诊断性操作,必选
07.11003,腹腔镜下肾上腺活检术,,必选
07.12002,直视下肾上腺活检术,,必选
07.13001,经额垂体活检,诊断性操作,必选
