北京临床版编码v8.0,北京临床版名称v8.0,医保版编码v2.0,医保版名称v2.0,备注
00.44001,血管分叉部位的操作,00.4400x001,血管分叉部位的操作,
00.45001,置入一个血管支架,00.4500,置入一根血管支架,
00.46001,置入两个血管支架,00.4600,置入两根血管支架,
00.47001,置入三个血管支架,00.4700,置入三根血管支架,
00.48001,置入四个血管支架,00.4801,四根血管支架置入,
00.48002,置入四个以上血管支架,00.4802,四根以上血管支架置入,
00.49001,过饱和氧化治疗,00.4900,过饱和氧化治疗,
00.50001,双心室起搏器置入术,00.5000x001,双心室起搏器置入术,
00.50002,心脏再同步起搏器置入术(全系统)[CRT-P置入术],00.5001,心脏再同步起搏器置入术,
00.50003,心脏再同步起搏器置换术(全系统)[CRT-P置换术],00.5002,心脏再同步起搏器置换术,
00.50004,三腔永久起搏器置入术,00.5000x004,三腔永久起搏器置入术,
00.50005,三腔永久起搏器置换术,00.5000x005,三腔永久起搏器置换术,
00.51001,双心室起搏伴心内除颤器置入术,00.5100x001,双心室起搏伴心内除颤器置入术,
00.51003,心脏再同步除颤器置入术(全系统)[CRT-D置入术],00.5101,心脏再同步除颤器置入术,
00.51004,心脏再同步除颤器置换术(全系统)[CRT-D置换术],00.5102,心脏再同步除颤器置换术,
00.52001,左心室冠状静脉电极置入术,00.5201,左心室冠状静脉导线[电极]置入术,
00.52002,左心室冠状静脉电极置换术,00.5202,左心室冠状静脉导线[电极]置换术,
00.53002,心脏再同步起搏器脉冲发生器置换术[CRT-P置换术],00.5302,心脏再同步起搏器脉冲发生器置换术,
00.53003,心脏再同步起搏器脉冲发生器置入术[CRT-P置入术],00.5301,心脏再同步起搏器脉冲发生器置入术,
00.54002,心脏再同步除颤器脉冲发生器置换术[CRT-D置换术],00.5402,心脏再同步除颤器脉冲发生器置换术,
00.54003,心脏再同步除颤器脉冲发生器置入术[CRT-D置入术],00.5401,心脏再同步除颤器脉冲发生器置入术,
00.55007,经皮股深动脉药物洗脱支架置入术,00.5502,股总动脉药物洗脱支架置入术,
00.55008,经皮降主动脉药物洗脱支架置入术,00.5500x008,经皮降主动脉药物洗脱支架置入术,
00.55009,经皮周围动脉药物洗脱支架置入术,00.5500x009,经皮周围动脉药物洗脱支架置入术,
00.55010,经皮周围静脉药物洗脱支架置入术,00.5500x010,经皮周围静脉药物洗脱支架置入术,
00.55011,经皮尺动脉药物洗脱支架置入术,00.5500x011,经皮尺动脉药物洗脱支架置入术,
00.55012,经皮腓动脉药物洗脱支架置入术,00.5500x012,经皮腓动脉药物洗脱支架置入术,
00.55013,经皮肱动脉药物洗脱支架置入术,00.5500x013,经皮肱动脉药物洗脱支架置入术,
00.55014,经皮桡动脉药物洗脱支架置入术,00.5500x014,经皮桡动脉药物洗脱支架置入术,
00.55015,经皮上肢静脉药物洗脱支架置入术,00.5500x015,经皮上肢静脉药物洗脱支架置入术,
00.55016,经皮头臂静脉药物洗脱支架置入术,00.5500x016,经皮头臂静脉药物洗脱支架置入术,
00.55017,经皮外周动脉可降解支架置入术,00.5500x017,经皮外周动脉可降解支架置入术,
00.55019,经皮锁骨下动脉药物洗脱支架置入术,00.5501,锁骨下动脉药物洗脱支架置入术,
00.56001,经皮心内或大血管内压力传感器置入术,00.5601,植入型压力传感器与导线的置入，用于心内或大血管血液动力学监测,
00.56002,经皮心内或大血管内压力传感器置换术,00.5602,植入型压力传感器与导线的置换，用于心内或大血管血液动力学监测,
00.57001,心内或大血管的血流动力学监测皮下装置置入或置换,00.5700,心内或大血管的血流动力学监测皮下装置置入或置换,
00.58001,术中动脉瘤囊内压力监测装置置入术,00.5800,置入动脉瘤囊内压力监测装置（手术中）,
00.59001,冠状动脉血流储备分数检查[FFR检查],00.5902,冠状动脉血流储备分数检查,
00.59002,冠脉瞬时无波形比值检查[iFR检查],00.5901,冠脉瞬时无波形比值检查[iFR检查],
00.59003,冠脉微循环阻力指数检查[IMR检查],00.5900x003,冠脉微循环阻力指数检查[IMR检查],
00.60001,经皮股浅动脉药物洗脱支架置入术,00.6000x001,经皮股浅动脉药物洗脱支架置入术,
00.61008,经皮颈总动脉球囊扩张成形术,00.6100x008,经皮颈总动脉球囊扩张成形术,
00.61011,经皮椎动脉球囊扩张成形术,00.6102,经皮椎动脉球囊扩张成形术,
00.61012,经皮颈静脉球囊扩张成形术,00.6100x012,经皮颈静脉球囊扩张成形术,
00.61013,经皮颈动脉球囊扩张成形术,00.6101,经皮颈动脉球囊扩张成形术,
00.62005,经皮大脑中动脉球囊扩张成形术,00.6200x005,经皮大脑中动脉球囊扩张成形术,
00.62006,经皮基底动脉球囊扩张成形术,00.6201,经皮基底动脉球囊扩张成形术,
00.62007,经皮交通动脉球囊扩张成形术,00.6202,经皮交通动脉血管球囊扩张成形术,
00.62008,经皮椎动脉颅内段球囊扩张成形术,00.6200x008,经皮椎动脉颅内段球囊扩张成形术,
00.62009,经皮颈内动脉颅内段球囊扩张成形术,00.6200x009,经皮颈内动脉颅内段球囊扩张成形术,
00.62010,经皮大脑前动脉球囊扩张成形术,00.6200x006,经皮大脑前动脉球囊扩张成形术,
00.62011,经皮大脑后动脉球囊扩张成形术,00.6200x007,经皮大脑后动脉球囊扩张成形术,
00.63004,经皮颈动脉支架置入术,00.6300,颈动脉支架经皮置入术,
00.63005,经皮颈动脉远端保护装置置入术,00.6300x005,经皮颈动脉远端保护装置置入术,
00.63006,经皮颈动脉覆膜支架置入术,00.6300x006,经皮颈动脉覆膜支架置入术,
00.63007,经皮颈动脉药物洗脱支架置入术,00.6300x007,经皮颈动脉药物洗脱支架置入术,
00.64009,经皮椎动脉支架置入术,00.6400x009,经皮椎动脉支架置入术,
00.64012,经皮颅外动脉远端保护装置置入术,00.6400x012,经皮颅外远端保护装置置入术,
00.64013,经皮椎动脉药物洗脱支架置入术,00.6400x013,经皮椎动脉药物洗脱支架置入术,
00.64014,经皮椎动脉覆膜支架置入术,00.6400x014,经皮椎动脉覆膜支架置入术,
00.65006,经皮大脑中动脉支架置入术,00.6501,经皮大脑中动脉支架置入术,
00.65008,经皮颅内动脉支架置入术,00.6500x008,经皮颅内动脉支架置入术,
00.65010,经皮颅内动脉远端保护装置置入术,00.6500x010,经皮颅内动脉远端保护装置置入术,
00.65011,经皮颅内静脉窦支架置入术,00.6500x011,经皮颅内静脉窦支架置入术,
00.65012,经皮大脑前动脉支架置入术,00.6500x012,经皮大脑前动脉支架置入术,
00.65013,经皮大脑后动脉支架置入术,00.6500x013,经皮大脑后动脉支架置入术,
00.65014,经皮基底动脉支架置入术,00.6500x014,经皮基底动脉支架置入术,
00.66004,经皮冠状动脉球囊扩张成形术,00.6600x004,经皮冠状动脉球囊扩张成形术,
00.66008,经皮冠状动脉药物球囊扩张成形术,00.6601,经皮冠状动脉药物球囊血管内成形术,
00.67002,肺动脉血流储备分数检查,00.6700x001,肺动脉血流储备分数检查,
00.67003,主动脉血管内压测定,00.6701,主动脉血管内压测定,
00.68001,肢体动脉血管内压力测量,00.6800x001,肢体动脉血管内压力测量,
00.69001,血管内压力测量,00.6900x001,血管内压力测量,
00.69002,髂部血管血管内压力测量,00.6900x002,髂部血管血管内压力测量,
00.69003,腹内血管血管内压力测量,00.6900x003,腹内血管血管内压力测量,
00.69004,肠系膜血管血管内压力测量,00.6900x004,肠系膜血管血管内压力测量,
00.69005,肾血管内压力测量,00.6900x005,肾血管内压力测量,
00.69006,外周静脉内压力测量,00.6901,外周静脉内压力测量,
00.70001,全髋关节假体翻修术,00.7000x001,全髋关节假体翻修术,
00.71001,髋关节髋臼假体翻修术,00.7100x001,髋关节髋臼假体翻修术,
00.72001,髋关节股骨假体翻修术,00.7200x001,髋关节股骨假体翻修术,
00.73001,髋关节髋臼衬垫和股骨头假体翻修术,00.7300x001,髋关节髋臼衬垫和股骨头翻修术,
00.73002,髋关节髋臼衬垫假体翻修术,00.7300x002,髋关节髋臼衬垫翻修术,
00.73003,髋关节股骨头假体翻修术,00.7300x003,髋关节股骨头翻修术,
00.74001,金属-聚乙烯髋关节置换,00.7400,髋轴面，金属与聚乙烯,
00.75001,金属-金属髋关节置换,00.7500,髋轴面，金属与金属,
00.76001,陶瓷-陶瓷髋关节置换,00.7600,髋轴面，陶瓷与陶瓷,
00.77001,陶瓷-聚乙烯髋关节置换,00.7700,髋轴面，陶瓷与聚乙烯,
00.78001,陶瓷-金属髋关节置换,00.7800,髋轴面，陶瓷与金属,
00.80001,全膝关节假体翻修术,00.8000x001,全膝关节假体翻修术,
00.81001,膝关节胫骨假体翻修术,00.8100x001,膝关节胫骨假体翻修术,
00.82001,膝关节股骨假体翻修术,00.8200x001,膝关节股骨假体翻修术,
00.83001,膝关节髌骨假体翻修术,00.8300x001,膝关节髌骨假体翻修术,
00.84001,膝关节胫骨衬垫翻修术,00.8400x001,膝关节胫骨衬垫翻修术,
00.85001,全髋关节表面置换术,00.8500x001,全髋关节表面置换术,
00.86001,股骨头表面置换术,00.8600x001,股骨头表面置换术,
00.87001,髋臼表面置换术,00.8700x001,髋臼表面置换术,
00.91001,与供者有血缘关系的活体移植,00.9100,与供者有血缘关系的活体移植,
00.92001,与供者无血缘关系的活体移植,00.9200,与供者无血缘关系的活体移植,
00.93001,来源于尸体的移植,00.9300,从尸体上移植,
00.94001,术中神经生理监测,00.9400,手术中神经生理监测,
01.01001,脑池穿刺术,01.0100,脑池穿刺,
01.01002,小脑延髓池穿刺术,01.0100x002,小脑延髓池穿刺术,
01.02001,经脑室分流导管脑室穿刺术,01.0200x001,经脑室分流导管脑室穿刺术,
01.09002,脑室穿刺术,01.0900x002,脑室穿刺术,
01.09003,前囟门穿刺术,01.0900x003,前囟门穿刺术,
01.09004,硬脑膜下腔穿刺抽吸术,01.0900x004,硬脑膜下腔穿刺抽吸术,
01.09005,颅内血肿硬通道穿刺引流术,01.0900x006,颅内血肿硬通道穿刺引流术,
01.09006,立体定向颅内血肿穿刺引流术,01.0900x007,立体定向颅内血肿穿刺引流术,
01.09007,脑脓肿穿刺引流术,01.0900x008,脑脓肿穿刺引流术,
01.09008,脑室钻孔引流术,01.0900x009,脑室钻孔引流术,
01.10001,颅压监护探极置入术,01.1000x001,颅压监护探极置入术,
01.11001,经皮脑膜活检,01.1100x001,经皮脑膜活检,
01.12001,直视下脑膜活检术,01.1200,开放性脑膜活组织检查,
01.12002,鼻内镜下脑膜活检术,01.1200x001,鼻内镜下脑膜活组织检查,
01.13001,经皮脑活检,01.1300x001,经皮脑活检,
01.13002,立体定向脑活检,01.1300x002,立体定向脑活检,
01.14001,直视下脑活检术,01.1400,开放性大脑活组织检查,
01.14002,神经内镜下脑活检术,01.1400x001,脑室镜下脑活组织检查,
01.15001,颅骨活检术,01.1500,颅骨活组织检查,
01.16001,脑氧分压监护探头置入术,01.1600x001,脑氧分压监护探头置入术,
01.17001,脑温探头置入术,01.1700x001,脑温探头置入术,
01.18002,神经内镜检查术,01.1800x002,神经内镜检查术,
01.20001,颅神经刺激脉冲发生器置入术,01.2001,颅神经刺激脉冲发生器植入,
01.20002,颅神经刺激脉冲发生器置换术,01.2002,颅神经刺激脉冲发生器置换,
01.21001,颅静脉窦切开修补术,01.2100x001,颅静脉窦切开修补术,
01.22001,颅内神经电刺激器导线去除术,01.2200,去除颅内神经刺激器导线,
01.23001,颅骨原切口再切开术,01.2300,颅骨切开术部位的再切开,
01.24005,开颅探查术,01.2400x005,开颅探查术,
01.24006,颅骨切除减压术,01.2413,颅骨去骨瓣减压术,
01.24007,颅骨钻孔减压术,01.2414,颅骨钻孔减压术,
01.24009,颅内脓肿引流术,01.2400x009,颅内脓肿引流术,
01.24013,硬脑膜外血肿清除术,01.2400x013,硬脑膜外血肿清除术,
01.24014,硬脑膜外脓肿清除术,01.2405,硬膜外脓肿清除术,
01.24017,颅骨切开异物取出术,01.2415,颅骨切开异物取出术,
01.24018,硬脑膜切开术,01.2400x018,硬脑膜切开术,
01.24019,硬脑膜外切开引流术,01.2400x018,硬脑膜切开术,
01.24021,颅骨钻孔探查术,01.2407,颅骨钻孔探查术,
01.24022,神经内镜下环枕减压术,01.2406,神经内镜下环枕减压术,
01.24023,延髓前方减压术,01.2403,延髓前方减压术,
01.25002,颅骨部分切除术,01.2503,颅骨部分切除术,
01.25003,颅骨清创术,01.2500x003,颅骨清创术,
01.25004,颅骨死骨切除术,01.2504,颅骨死骨切除术,
01.25007,茎突截除术,01.2507,茎突截短术,
01.25008,颞骨部分切除术,01.2502,颞骨部分切除术,
01.25009,颞骨全切除术,01.2501,颞骨全切除术,
01.25010,眶板眶顶切除术,01.2505,眶板眶顶切除术,
01.26001,颅内导管置入术,01.2600,颅腔或组织的导管置入术,
01.27001,颅内导管去除术,01.2700,颅腔或组织的导管去除术,
01.28001,经伯尔孔颅内导管置入术,01.2800,经伯尔孔的脑内导管放置术,
01.29001,颅神经刺激脉冲发生器去除术,01.2900,颅神经刺激脉冲发生器去除术,
01.31002,脑膜切开伴蛛网膜下腔血肿引流术,01.3101,脑膜切开伴蛛网膜下腔血肿引流术,
01.31003,脑膜切开伴硬脑膜下脓肿引流术,01.3103,脑膜切开伴硬脑膜下脓肿引流术,
01.31004,脑膜切开伴硬脑膜下腔血肿清除术,01.3104,脑膜切开伴硬脑膜下腔血肿清除术,
01.31005,脑膜切开伴蛛网膜下腔脓肿引流术,01.3102,脑膜切开伴蛛网膜下腔脓肿引流术,
01.31008,硬脑膜下钻孔引流术,01.3108,硬脑膜下钻孔引流术,
01.31009,脑膜切开引流术,01.3107,脑膜切开引流术,
01.32002,脑叶切开术,01.3201,脑叶切开术,
01.32003,脑神经束切断术,01.3202,脑神经束切断术,
01.32004,经皮扣带回切断术,01.3203,经皮扣带回切断术,
01.32005,脑胼胝体切开术,01.3205,胼胝体切开术,
01.32006,延髓束切断术,01.3204,延髓束切断术,
01.32007,脑立体定向双侧扣带回毁损术,01.3206,颅内立体定向双侧扣带回毁损术,
01.39002,脑白质切开术,01.3900x002,脑白质切开术,
01.39004,脑切开异物取出术,01.3907,脑切开异物取出术,
01.39007,脑切开术,01.3908,大脑半球切开术,
01.39008,脑室切开引流术,01.3902,脑室切开引流术,
01.39009,脑内血肿清除术,01.3900x009,脑内血肿清除术,
01.39010,杏仁核海马切开术,01.3903,杏仁核海马切开术,
01.39011,经颞叶脑内血肿清除术,01.3904,经颞叶脑血肿清除术,
01.39012,经外侧裂脑内血肿清除术,01.3900x012,经外侧裂脑内血肿清除术,
01.39014,神经内镜下脑内血肿引流术,01.3906,内镜下脑血肿引流术,
01.41001,丘脑化学破坏术,01.4103,丘脑化学破坏术,
01.41002,丘脑切开术,01.4101,丘脑切开术,
01.41003,丘脑射频治疗术,01.4102,丘脑射频毁损术,
01.41004,丘脑病损切除术,01.4105,丘脑病损切除术,
01.42001,苍白球切开术,01.4202,苍白球切开术,
01.42002,苍白球射频毁损术,01.4203,苍白球射频毁损术,
01.42003,立体定向苍白球切开术,01.4201,立体定向苍白球切开术,
01.51001,开颅蛛网膜剥离术,01.5100x001,开颅蛛网膜剥离术,
01.51002,脑膜病损切除术,01.5106,脑膜病损切除术,
01.51004,蛛网膜病损切除术,01.5105,脑蛛网膜病损切除术,
01.51006,大脑镰脑膜病损切除术,01.5100x006,大脑镰脑膜病损切除术,
01.51007,小脑幕脑膜病损切除术,01.5100x007,小脑幕脑膜病损切除术,
01.51008,脑膜部分切除术,01.5101,脑膜部分切除术,
01.51009,经鼻脑膜病损切除术,01.5102,经鼻脑膜病损切除术,
01.51010,经枕脑膜病损切除术,01.5103,经枕脑膜病损切除术,
01.51011,经额脑膜病损切除术,01.5104,经额脑膜病损切除术,
01.51012,神经内镜下脑蛛网膜病损切除术,01.5107,内镜下脑蛛网膜病损切除术,
01.51013,软脑膜切除术,01.5108,软脑膜切除术,
01.52001,大脑半球切除术,01.5200,大脑半球切除术,
01.53001,额叶切除术,01.5302,额叶切除术,
01.53003,颞叶切除术,01.5303,颞叶切除术,
01.59001,鞍区病损切除术,01.5902,鞍区病损切除术,
01.59002,侧脑室病损切除术,01.5903,侧脑室病损切除术,
01.59003,大脑病损切除术,01.5901,脑病损切除术,
01.59004,大脑清创术,01.5925,脑清创术,
01.59005,第三脑室病损切除术,01.5904,第三脑室病损切除术,
01.59006,第四脑室病损切除术,01.5907,第四脑室病损切除术,
01.59007,顶叶病损切除术,01.5908,顶叶病损切除术,
01.59008,额叶病损切除术,01.5909,额叶病损切除术,
01.59009,海绵窦病损切除术,01.5910,海绵窦病损切除术,
01.59010,经蝶窦脑病损切除术,01.5912,经蝶窦脑病损切除术,
01.59012,经顶脑病损切除术,01.5914,经顶脑病损切除术,
01.59013,经额脑病损切除术,01.5911,经额脑病损切除术,
01.59014,经颞脑病损切除术,01.5915,经颞脑病损切除术,
01.59016,经翼点脑病损切除术,01.5916,经翼点脑病损切除术,
01.59017,经枕脑病损切除术,01.5917,经枕脑病损切除术,
01.59019,颅底病损切除术,01.5918,颅底病损切除术,
01.59020,脑干病损切除术,01.5920,脑干病损切除术,
01.59021,脑囊肿造袋术,01.5921,脑囊肿造袋术,
01.59022,多个脑室病损切除术,01.5900x022,多个脑室病损切除术,
01.59025,胼胝体病损切除术,01.5922,胼胝体病损切除术,
01.59028,小脑半球病损切除术,01.5923,小脑半球病损切除术,
01.59029,小脑蚓部病损切除术,01.5924,小脑蚓部病损切除术,
01.59030,中颅窝病损切除术,01.5900x030,中颅窝病损切除术,
01.59031,后颅窝病损切除术,01.5905,后颅窝病损切除术,
01.59032,颈静脉孔病损切除术,01.5900x032,颈静脉孔病损切除术,
01.59033,立体定向脑病损切除术,01.5927,立体定向脑病损切除术,
01.59034,斜坡病损切除术,01.5928,脑斜坡病损切除术,
01.59035,枕叶病损切除术,01.5940,枕叶病损切除术,
01.59036,海马杏仁核切除术,01.5900x036,海马杏仁核切除术,
01.59037,大脑半球病损切除术,01.5900x037,大脑半球病损切除术,
01.59038,大脑深部病损切除术,01.5900x038,大脑深部病损切除术,
01.59039,岛叶病损切除术,01.5906,岛叶病损切除术,
01.59040,蝶鞍旁病损切除术,01.5900x040,蝶鞍旁病损切除术,
01.59041,额颞岛叶病损切除术,01.5900x041,额颞岛叶病损切除术,
01.59042,小脑扁桃体部分切除术,01.5935,小脑扁桃体部分切除术,
01.59043,小脑病损切除术,01.5900x043,小脑病损切除术,
01.59044,小脑桥脑角病损切除术,01.5900x044,小脑桥脑角病损切除术,
01.59045,颞叶病损切除术,01.5913,颞叶病损切除术,
01.59048,岩斜区病损切除术,01.5900x048,岩斜区病损切除术,
01.59049,枕骨大孔区病损切除术,01.5900x049,枕骨大孔区病损切除术,
01.59050,神经内镜下脑室病损切除术,01.5900x050,神经内镜下脑室病损切除术,
01.59051,神经内镜下脑病损切除术,01.5900x051,神经内镜下脑病损切除术,
01.59052,神经内镜下颅底病损切除术,01.5931,内镜下颅底病损切除术,
01.59053,神经内镜下斜坡病损切除术,01.5939,内镜下斜坡病损切除术,
01.6001,颅骨病损切除术,01.6x00,颅骨病损的切除术,
01.6002,颅骨肉芽肿切除术,01.6x01,颅肉芽肿切除术,
02.01002,线形颅骨切除术,02.0101,线形颅骨切除术,
02.01003,条带状颅骨切除术,02.0102,条带状颅骨切除术,
02.02001,颅骨骨折复位术,02.0203,颅骨骨折复位术,
02.02002,颅骨骨折减压术,02.0201,颅骨骨折减压术,
02.02003,颅骨骨折清创术,02.0202,颅骨骨折清创术,
02.03001,颅骨骨瓣修补术,02.0300x001,颅骨骨瓣修补术,
02.04001,颅骨骨移植术,02.0400x003,颅骨骨膜移植术,
02.04003,颅骨骨膜移植术,02.0400x003,颅骨骨膜移植术,
02.04004,颅骨骨膜自体移植术,02.0401,颅骨骨膜自体移植术,
02.04005,颅骨骨膜异体移植术,02.0402,颅骨骨膜异体移植术,
02.05002,颅骨钛板置入术,02.0502,颅骨钛板置入术,
02.05004,颅骨硅橡胶板置入术,02.0500x004,颅骨硅橡胶板置入术,
02.05005,颅骨有机玻璃板置入术,02.0500x005,颅骨有机玻璃板置入术,
02.05006,颅骨钛板置换术,02.0501,颅骨钛板置换术,
02.06003,颅骨修补术,02.0600x003,颅骨修补术,
02.07001,颅骨金属板去除术,02.0700,颅骨(金属)板去除,
02.11001,硬脑膜缝合术,02.1100x001,硬脑膜缝合术,
02.12001,脑脊液鼻漏修补术,02.1204,脑脊液鼻漏修补术,
02.12005,脑脊液耳漏修补术,02.1205,脑脊液耳漏修补术,
02.12006,脑脊液切口漏修补术,02.1206,脑脊液切口漏修补术,
02.12007,脑膜膨出修补术[还纳术],02.1202,脑膜膨出修补术,
02.12009,硬脑膜补片修补术,02.1209,硬脑膜补片修补术,
02.12010,内镜下脑脊液鼻漏修补术,02.1208,内镜下脑脊液鼻漏修补术,
02.12011,耳镜下脑脊液耳漏修补术,02.1200x001,耳镜下脑脊液耳漏修补术,
02.12012,内镜下额隐窝及额窦脑膜脑膨出切除伴颅底修补术,02.1212,内镜下额隐窝及额窦脑膜脑膨出切除伴颅底修补术,
02.12013,内镜下经翼突入路蝶窦外侧隐窝脑膜脑膨出切除伴颅底修补术,02.1211,内镜下经翼突入路蝶窦外侧隐窝脑膜脑膨出切除伴颅底修补术,
02.13002,鼻内镜下脑膜中动脉电凝术,02.1300x001,鼻内镜下脑膜中动脉电凝术,
02.13003,脑膜中动脉结扎术,02.1301,中脑膜动脉结扎术,
02.13004,矢状窦结扎术,02.1302,矢状窦结扎术,
02.14002,脉络丛烧灼术,02.1401,脉络丛烧灼术,
02.14003,脑室镜下脉络丛烧灼术,02.1400x001,脑室镜下脉络丛烧灼术,
02.21002,脑室外引流[EVD]装置置换术,02.2102,脑室外引流[EVD]装置置换术,
02.21003,脑室外引流[EVD]装置置入术,02.2101,脑室外引流[EVD]装置置入术,
02.22001,神经内镜下第三脑室底造瘘术,02.2200x001,神经内镜下第三脑室底造瘘术,
02.22002,脑室-脑池分流术,02.2206,脑室脑池分流术,
02.22003,脑室-蛛网膜下腔分流术,02.2207,脑室蛛网膜下腔分流术,
02.22004,脑室-小脑延髓池分流术[Torkildsen手术],02.2210,脑室小脑延髓池分流术,
02.22005,脑室-静脉窦分流术,02.2200x005,脑室-静脉窦分流术,
02.22006,脑室Ommaya泵置入术,02.2204,脑室Ommaya泵置入术,
02.22007,神经内镜下脑室造瘘术,02.2214,内镜下脑室造口术,
02.22008,脑室造瘘术,02.2208,脑室造口术,
02.22009,第三脑室瘘术,02.2203,第三脑室造口术,
02.31001,脑室-鼻咽分流术,02.3103,脑室鼻咽分流术,
02.31002,脑室-乳突分流术,02.3102,脑室乳突分流术,
02.32001,脑室-颈外静脉分流术,02.3200x001,脑室-颈外静脉分流术,
02.32002,脑室-腔静脉分流术,02.3202,脑室腔静脉分流术,
02.32003,脑室-心房分流术,02.3201,脑室心房分流术,
02.33001,脑室-胸腔分流术,02.3300x001,脑室-胸腔分流术,
02.34001,脑室-胆囊分流术,02.3402,脑室胆囊分流术,
02.34002,脑室-腹腔分流术,02.3400x002,脑室-腹腔分流术,
02.34003,神经内镜下脑室-腹腔分流术,02.3404,脑室镜下脑室腹腔分流术,
02.34004,腹腔镜下脑室-腹腔分流术,02.3405,腹腔镜下脑室腹腔分流术,
02.35001,脑室-输尿管分流术,02.3502,脑室输尿管分流术,
02.35002,脑室-膀胱分流术,02.3501,脑室膀胱分流术,
02.39004,脑室-骨髓分流术,02.3901,脑室骨髓分流术,
02.41001,脑室分流管冲洗术,02.4101,脑室分流管冲洗术,
02.41003,脑室分流管探查术,02.4102,脑室分流管探查术,
02.42002,脑室分流管置换术,02.4204,脑室腹腔分流管重置术,
02.42003,脑室-腹腔分流管脑室端修正术,02.4201,脑室-腹膜分流管脑室端修正术,
02.42004,脑室分流管修正术,02.4202,脑室分流管修正术,
02.42005,脑室Ommaya泵引流管修正术,02.4200x005,Ommaya泵引流管修正术,
02.42006,脑室-腹腔分流管置换术,02.4204,脑室腹腔分流管重置术,
02.43001,脑室分流管去除术,02.4301,脑室腹腔引流管夹闭术,
02.43002,脑室Ommaya泵去除术,02.4302,脑室Ommaya泵去除术,
02.91001,大脑皮层粘连松解术,02.9100,大脑皮层粘连松解术,
02.92001,脑修补术,02.9200,脑修补术,
02.93002,颅内神经刺激器置入术,02.9301,颅内神经刺激器植入术,
02.93003,颅内神经刺激器置换术,02.9302,颅内神经刺激器置换术,
02.93004,颅内神经刺激器调整术,02.9300x001,颅内神经刺激器调整术,
02.93005,脑深部电极置入术,02.9303,脑深部电极置入术,
02.93006,丘脑底核电极刺激器置入术,02.9304,丘脑底核电极刺激器置入术,
02.94001,颅钳插入术,02.9401,颅钳插入术,
