北京临床版编码v7.0,北京临床版名称v7.0,国家临床版编码2.0,附加代码,国家临床版名称2.0,
A02.104,沙门菌脓毒血症,A02.100x004,,沙门菌脓毒血症,A02.100x004
A02.201+J17.0*,沙门菌性肺炎,A02.201?,J17.0*,沙门菌肺炎,A02.201+J17.0*
A02.202+M01.3*,沙门菌性关节炎,A02.202?,M01.3*,沙门菌关节炎,A02.202+M01.3*
A02.203+G01*,沙门菌性脑膜炎,A02.203?,G01*,沙门菌脑膜炎,A02.203+G01*
A02.204+N16.0*,沙门菌性肾小管间质病,A02.200x004,?N16.0*,沙门菌性肾小管间质病,A02.200x004+N16.0*
A02.205+M90.2*,沙门菌性骨髓炎,A02.200x005,?M90.2*,沙门菌性骨髓炎,A02.200x005+M90.2*
A02.901,沙门菌感染,A02.900,,沙门菌感染,A02.900
A02.902,鼠伤寒沙门菌感染,A02.900x002,,鼠伤寒沙门菌感染,A02.900x002
A02.903,沙门菌属食物中毒,A02.900x003,,沙门菌属食物中毒,A02.900x003
A02.904,亚利桑那菌感染,A02.900x004,,亚利桑那菌感染,A02.900x004
A02.905,猪霍乱沙门菌感染,A02.901,,猪霍乱沙门菌感染,A02.901
A03.001,痢疾志贺菌痢疾,A03.000x001,,痢疾志贺菌痢疾,A03.000x001
A03.101,福氏志贺菌痢疾,A03.100x001,,福氏志贺菌痢疾,A03.100x001
A03.201,鲍氏志贺菌痢疾,A03.200x001,,鲍氏志贺菌痢疾,A03.200x001
A03.301,宋内志贺菌痢疾,A03.300x001,,宋内志贺菌痢疾,A03.300x001
A03.801,不定型志贺菌痢疾,A03.800x001,,不定型志贺菌痢疾,A03.800x001
A03.802,菌痢混合感染,A03.800x002,,菌痢混合感染,A03.800x002
A03.901,急性细菌性痢疾,A03.901,,急性细菌性痢疾,A03.901
A03.902,慢性细菌性痢疾急性发作,A03.900x002,,慢性细菌性痢疾急性发作,A03.900x002
A03.903,慢性迁延型菌痢,A03.902,,慢性迁延型细菌性痢疾,A03.902
A03.904,慢性细菌性痢疾,A03.903,,慢性细菌性痢疾,A03.903
A03.905,慢性隐匿型菌痢,A03.900x005,,慢性隐匿型菌痢,A03.900x005
A03.906,中毒型菌痢,A03.904,,中毒型细菌性痢疾,A03.904
A03.907,中毒型菌痢休克型,A03.900x007,,中毒型菌痢休克型,A03.900x007
A03.908,中毒型菌痢脑型,A03.900x008,,中毒型菌痢脑型,A03.900x008
A03.909,中毒型菌痢混合型,A03.900x009,,中毒型菌痢混合型,A03.900x009
A04.001,新生儿肠致病性大肠杆菌肠炎,A04.000x001,,新生儿肠致病性大肠杆菌肠炎,A04.000x001
A04.002,肠致病性大肠杆菌肠炎,A04.000x002,,肠致病性大肠杆菌肠炎,A04.000x002
A04.101,肠毒性大肠杆菌肠炎,A04.100x001,,肠毒性大肠杆菌肠炎,A04.100x001
A04.102,新生儿肠毒性大肠杆菌肠炎,A04.100x002,,新生儿肠毒性大肠杆菌肠炎,A04.100x002
A04.201,肠侵袭性大肠杆菌肠炎,A04.200x001,,肠侵袭性大肠杆菌肠炎,A04.200x001
A04.202,新生儿肠侵袭性大肠杆菌肠炎,A04.200x002,,新生儿肠侵袭性大肠杆菌肠炎,A04.200x002
A04.301,肠出血性大肠杆菌肠炎,A04.300x001,,肠出血性大肠杆菌肠炎,A04.300x001
A04.302,新生儿肠出血性大肠杆菌肠炎,A04.301,,新生儿肠出血性大肠杆菌肠炎,A04.301
A04.401,大肠杆菌肠炎,A04.401,,大肠杆菌性肠炎,A04.401
A04.402,新生儿大肠杆菌肠炎,A04.402,,新生儿大肠杆菌肠炎,A04.402
A04.403,新生儿肠粘附性大肠杆菌肠炎,A04.400x003,,新生儿肠粘附性大肠杆菌肠炎,A04.400x003
A04.404,肠粘附性大肠杆菌肠炎,A04.400x004,,肠粘附性大肠杆菌肠炎,A04.400x004
A04.501,弯曲菌肠炎,A04.500,,弯曲菌肠炎,A04.500
A04.601,耶尔森菌肠炎,A04.600x001,,耶尔森菌肠炎,A04.600x001
A04.701,假膜性肠炎[难辨梭状芽孢杆菌肠炎],A04.700x001,,假膜性肠炎[难辨梭状芽孢杆菌肠炎],A04.700x001
A04.702,抗生素相关性肠炎,A04.700x002,,抗生素相关性肠炎,A04.700x002
A04.801,吡邻单胞菌肠炎,A04.800x001,,吡邻单胞菌肠炎,A04.800x001
A04.802,变形杆菌肠炎,A04.801,,变形杆菌肠炎,A04.801
A04.803,产气杆菌肠炎,A04.800x003,,产气杆菌肠炎,A04.800x003
A04.804,肠道厌氧菌感染,A04.800x004,,肠道厌氧菌感染,A04.800x004
A04.806,副溶血弧菌肠炎,A04.800x006,,副溶血弧菌肠炎,A04.800x006
A04.807,金黄色葡萄球菌肠炎,A04.800x007,,金黄色葡萄球菌肠炎,A04.800x007
A04.808,绿脓杆菌肠炎,A04.800x008,,绿脓杆菌肠炎,A04.800x008
A04.810,嗜水气单胞菌肠炎,A04.800x010,,嗜水气单胞菌肠炎,A04.800x010
A04.902,细菌性肠炎,A04.900x002,,细菌性肠炎,A04.900x002
A04.903,细菌性结肠炎,A04.901,,细菌性结肠炎,A04.901
A05.001,葡萄球菌食物中毒,A05.000x001,,葡萄球菌食物中毒,A05.000x001
A05.101,肉毒中毒,A05.100,,肉毒中毒,A05.100
A05.202,急性出血性坏死性肠炎,A05.200x002,,急性出血性坏死性肠炎,A05.200x002
A05.301,副溶血性弧菌食物中毒,A05.300x001,,副溶血性弧菌食物中毒,A05.300x001
A05.401,蜡样芽胞杆菌食物中毒,A05.400x001,,蜡样芽胞杆菌食物中毒,A05.400x001
A05.901,细菌性食物中毒,A05.900,,细菌性食物中毒,A05.900
A06.001,阿米巴肠炎,A06.000x001,,阿米巴肠炎,A06.000x001
A06.004,急性阿米巴痢疾,A06.000,,急性阿米巴痢疾,A06.000
A06.005,急性肠阿米巴病,A06.000x005,,急性肠阿米巴病,A06.000x005
A06.008,肠阿米巴病,A06.000x008,,肠阿米巴病,A06.000x008
A06.101,慢性肠阿米巴病,A06.100,,慢性肠阿米巴病,A06.100
A06.102,阿米巴肠溃疡,A06.100x002,,阿米巴肠溃疡,A06.100x002
A06.201,非痢疾性阿米巴结肠炎,A06.200,,阿米巴非痢疾性结肠炎,A06.200
A06.301,阿米巴肉芽肿,A06.300x001,,阿米巴肉芽肿,A06.300x001
A06.401,肝阿米巴病[阿米巴肝脓肿],A06.400,,阿米巴肝脓肿,A06.400
A06.502+J99.8*,肺阿米巴病[阿米巴肺脓肿],A06.500?,J99.8*,阿米巴肺脓肿,A06.500+J99.8*
A06.601+G07*,阿米巴脑脓肿,A06.600?,G07*,阿米巴脑脓肿,A06.600+G07*
A06.703,皮肤阿米巴病,A06.700,,皮肤阿米巴病,A06.700
A06.801,阿米巴膀胱炎,A06.800x001,,阿米巴膀胱炎,A06.800x001
A06.802,阿米巴阑尾炎,A06.800x002,,阿米巴阑尾炎,A06.800x002
A06.803,阿米巴精囊炎,A06.800x003,,阿米巴精囊炎,A06.800x003
A06.804+N51.2*,阿米巴龟头炎,A06.800x004,?N51.2*,阿米巴龟头炎,A06.800x004+N51.2*
A06.901,阿米巴病,A06.900,,阿米巴病,A06.900
A06.902,阿米巴感染,A06.900x002,,阿米巴感染,A06.900x002
A07.001,小袋纤毛虫病,A07.000,,小袋纤毛虫病,A07.000
A07.101,贾第虫病,A07.100,,贾第虫病\[兰伯鞭毛虫病\],A07.100
A07.201,隐孢子虫病,A07.200,,隐孢子虫病,A07.200
A07.301,等孢球虫病,A07.300,,等孢球虫病,A07.300
A07.302,肠道球虫病,A07.300x002,,肠道球虫病,A07.300x002
A07.801,肠道滴虫病,A07.801,,肠道滴虫病,A07.801
A07.802,肉孢子虫病,A07.800x002,,肉孢子虫病,A07.800x002
A07.901,肠道原虫感染,A07.900x001,,肠道原虫感染,A07.900x001
A08.001,轮状病毒性肠炎,A08.000,,轮状病毒性肠炎,A08.000
A08.101,诺沃克病毒性肠炎,A08.100x001,,诺沃克病毒性肠炎,A08.100x001
A08.201,腺病毒性肠炎,A08.200,,腺病毒性肠炎,A08.200
A08.301,柯萨奇病毒性肠炎,A08.300x001,,柯萨奇病毒性肠炎,A08.300x001
A08.302,EB病毒性肠炎,A08.301,,EB病毒性肠炎,A08.301
A08.401,病毒性肠炎,A08.401,,病毒性肠炎,A08.401
A08.402,病毒性胃肠炎,A08.402,,病毒性胃肠炎,A08.402
A08.403,病毒性小肠炎,A08.400x003,,病毒性小肠炎,A08.400x003
A09.001,肠道感染,A09.000x001,,肠道感染,A09.000x001
A09.002,感染性腹泻,A09.004,,感染性腹泻,A09.004
A09.003,流行性肠炎,A09.000x003,,流行性肠炎,A09.000x003
A09.004,脓毒性肠炎,A09.005,,脓毒性肠炎,A09.005
A09.005,急性出血性肠炎,A09.006,,急性出血性肠炎,A09.006
A09.006,出血性结肠炎,A09.000x006,,出血性结肠炎,A09.000x006
A09.007,新生儿感染性腹泻,A09.004,,感染性腹泻,A09.004
A09.901,胃肠炎,A09.901,,胃肠炎,A09.901
A09.902,急性胃肠炎,A09.901,,胃肠炎,A09.901
A09.903,急性肠炎,A09.900x003,,急性肠炎,A09.900x003
A09.904,急性小肠炎,A09.900x004,,急性小肠炎,A09.900x004
A09.905,急性结肠炎,A09.902,,结肠炎,A09.902
A09.906,肠炎,A09.900x003,,急性肠炎,A09.900x003
A09.907,婴儿肠炎,A09.903,,婴儿腹泻,A09.903
A09.908,小儿肠炎,A09.901,,胃肠炎,A09.901
A15.001,肺结核(显微镜检证实),A15.000x001,,肺结核(显微镜检证实),A15.000x001
A15.002,肺结核(仅痰涂片证实),A15.000x002,,肺结核(仅痰涂片证实),A15.000x002
A15.003,肺结核(痰涂片及培养均证实),A15.000x003,,肺结核(痰涂片及培养均证实),A15.000x003
A15.010,"继发性肺结核(初治,单耐药)涂阳培阳",A15.000x010,,"继发性肺结核(初治,单耐药)涂阳培阳",A15.000x010
A15.011,"继发性肺结核(初治,单耐药)涂阴培阳",A15.000x011,,"继发性肺结核(初治,单耐药)涂阴培阳",A15.000x011
A15.012,"继发性肺结核(初治,多耐药)涂阳培阳",A15.000x012,,"继发性肺结核(初治,多耐药)涂阳培阳",A15.000x012
A15.013,"继发性肺结核(初治,多耐药)涂阴培阳",A15.000x013,,"继发性肺结核(初治,多耐药)涂阴培阳",A15.000x013
A15.014,"继发性肺结核(初治,广泛耐药)涂阳培阳",A15.000x014,,"继发性肺结核(初治,广泛耐药)涂阳培阳",A15.000x014
A15.015,"继发性肺结核(初治,广泛耐药)涂阴培阳",A15.000x015,,"继发性肺结核(初治,广泛耐药)涂阴培阳",A15.000x015
A15.016,"继发性肺结核(初治,耐多药)涂阳培阳",A15.000x016,,"继发性肺结核(初治,耐多药)涂阳培阳",A15.000x016
A15.017,"继发性肺结核(初治,耐多药)涂阴培阳",A15.000x017,,"继发性肺结核(初治,耐多药)涂阴培阳",A15.000x017
A15.018,"继发性肺结核(初治,药物敏感)涂阳培阳",A15.000x018,,"继发性肺结核(初治,药物敏感)涂阳培阳",A15.000x018
A15.019,"继发性肺结核(初治,药物敏感)涂阴培阳",A15.000x019,,"继发性肺结核(初治,药物敏感)涂阴培阳",A15.000x019
A15.020,"继发性肺结核(复治,单耐药)涂阳培阳",A15.000x020,,"继发性肺结核(复治,单耐药)涂阳培阳",A15.000x020
A15.021,"继发性肺结核(复治,单耐药)涂阴培阳",A15.000x021,,"继发性肺结核(复治,单耐药)涂阴培阳",A15.000x021
A15.022,"继发性肺结核(复治,多耐药)涂阳培阳",A15.000x022,,"继发性肺结核(复治,多耐药)涂阳培阳",A15.000x022
A15.023,"继发性肺结核(复治,多耐药)涂阴培阳",A15.000x023,,"继发性肺结核(复治,多耐药)涂阴培阳",A15.000x023
A15.024,"继发性肺结核(复治,广泛耐药)涂阳培阳",A15.000x024,,"继发性肺结核(复治,广泛耐药)涂阳培阳",A15.000x024
A15.025,"继发性肺结核(复治,广泛耐药)涂阴培阳",A15.000x025,,"继发性肺结核(复治,广泛耐药)涂阴培阳",A15.000x025
A15.026,"继发性肺结核(复治,耐多药)涂阳培阳",A15.000x026,,"继发性肺结核(复治,耐多药)涂阳培阳",A15.000x026
A15.027,"继发性肺结核(复治,耐多药)涂阴培阳",A15.000x027,,"继发性肺结核(复治,耐多药)涂阴培阳",A15.000x027
A15.028,"继发性肺结核(复治,药物敏感)涂阳培阳",A15.000x028,,"继发性肺结核(复治,药物敏感)涂阳培阳",A15.000x028
A15.029,"继发性肺结核(复治,药物敏感)涂阴培阳",A15.000x029,,"继发性肺结核(复治,药物敏感)涂阴培阳",A15.000x029
A15.101,肺结核(仅痰培养证实),A15.100,,肺结核，仅经痰培养所证实,A15.100
A15.201,肺结核(组织学证实),A15.200,,肺结核，经组织学所证实,A15.200
A15.401,肺门淋巴结结核(细菌学和组织学证实),A15.400x001,,肺门淋巴结结核(细菌学和组织学证实),A15.400x001
A15.501,喉结核(细菌学和组织学证实),A15.500x001,,喉结核(细菌学和组织学证实),A15.500x001
A15.502,气管结核(细菌学和组织学证实),A15.500x002,,气管结核(细菌学和组织学证实),A15.500x002
A15.503,支气管结核(细菌学和组织学证实),A15.500x003,,支气管结核(细菌学和组织学证实),A15.500x003
A15.504,声带结核(细菌学和组织学证实),A15.500x004,,声带结核(细菌学和组织学证实),A15.500x004
A15.510,"支气管结核(初治,单耐药)涂阳培阳",A15.500x010,,"支气管结核(初治,单耐药)涂阳培阳",A15.500x010
A15.511,"支气管结核(初治,单耐药)涂阴培阳",A15.500x011,,"支气管结核(初治,单耐药)涂阴培阳",A15.500x011
A15.512,"支气管结核(初治,多耐药)涂阳培阳",A15.500x012,,"支气管结核(初治,多耐药)涂阳培阳",A15.500x012
A15.513,"支气管结核(初治,多耐药)涂阴培阳",A15.500x013,,"支气管结核(初治,多耐药)涂阴培阳",A15.500x013
A15.514,"支气管结核(初治,广泛耐药)涂阳培阳",A15.500x014,,"支气管结核(初治,广泛耐药)涂阳培阳",A15.500x014
A15.515,"支气管结核(初治,广泛耐药)涂阴培阳",A15.500x015,,"支气管结核(初治,广泛耐药)涂阴培阳",A15.500x015
A15.516,"支气管结核(初治,耐多药)涂阳培阳",A15.500x016,,"支气管结核(初治,耐多药)涂阳培阳",A15.500x016
A15.517,"支气管结核(初治,耐多药)涂阴培阳",A15.500x017,,"支气管结核(初治,耐多药)涂阴培阳",A15.500x017
A15.518,"支气管结核(初治,药物敏感)涂阳培阳",A15.500x018,,"支气管结核(初治,药物敏感)涂阳培阳",A15.500x018
A15.519,"支气管结核(初治,药物敏感)涂阴培阳",A15.500x019,,"支气管结核(初治,药物敏感)涂阴培阳",A15.500x019
A15.520,"支气管结核(复治,单耐药)涂阳培阳",A15.500x020,,"支气管结核(复治,单耐药)涂阳培阳",A15.500x020
A15.521,"支气管结核(复治,单耐药)涂阴培阳",A15.500x021,,"支气管结核(复治,单耐药)涂阴培阳",A15.500x021
A15.522,"支气管结核(复治,多耐药)涂阳培阳",A15.500x022,,"支气管结核(复治,多耐药)涂阳培阳",A15.500x022
A15.523,"支气管结核(复治,多耐药)涂阴培阳",A15.500x023,,"支气管结核(复治,多耐药)涂阴培阳",A15.500x023
A15.524,"支气管结核(复治,广泛耐药)涂阳培阳",A15.500x024,,"支气管结核(复治,广泛耐药)涂阳培阳",A15.500x024
A15.525,"支气管结核(复治,广泛耐药)涂阴培阳",A15.500x025,,"支气管结核(复治,广泛耐药)涂阴培阳",A15.500x025
A15.526,"支气管结核(复治,耐多药)涂阳培阳",A15.500x026,,"支气管结核(复治,耐多药)涂阳培阳",A15.500x026
A15.527,"支气管结核(复治,耐多药)涂阴培阳",A15.500x027,,"支气管结核(复治,耐多药)涂阴培阳",A15.500x027
A15.528,"支气管结核(复治,药物敏感)涂阳培阳",A15.500x028,,"支气管结核(复治,药物敏感)涂阳培阳",A15.500x028
A15.529,"支气管结核(复治,药物敏感)涂阴培阳",A15.500x029,,"支气管结核(复治,药物敏感)涂阴培阳",A15.500x029
A15.601,结核性胸膜炎(细菌学和组织学证实),A15.600,,结核性胸膜炎，经细菌学和组织学所证实,A15.600
A15.801,鼻咽结核性肉芽肿(组织学证实),A15.800x001,,鼻咽结核性肉芽肿(组织学证实),A15.800x001
A16.001,肺结核(细菌学和组织学检查为阴性),A16.000,,肺结核，细菌学和组织学检查为阴性,A16.000
A16.002,支气管结核(细菌学和组织学证实均阴性),A16.000x002,,支气管结核(细菌学和组织学证实均阴性),A16.000x002
A16.101,肺结核(未行细菌学和组织学检查),A16.100,,肺结核，未做细菌学和组织学检查,A16.100
A16.201,干酪性肺结核,A16.206,,肺干酪性结核,A16.206
A16.202,肺结核,A16.200x002,,肺结核,A16.200x002
A16.203,肺结核球[肺结核瘤],A16.201,,肺结核瘤,A16.201
A16.204,结核性肺炎[干酪性肺炎],A16.202,,结核性肺炎,A16.202
A16.205,结核性肺纤维变性[增殖性结核性肺纤维变性],A16.203,,结核性肺纤维变性,A16.203
A16.206,结核性支气管扩张,A16.205,,结核性支气管扩张,A16.205
A16.207,结节型肺结核,A16.200x007,,结节型肺结核,A16.200x007
A16.208,浸润型肺结核,A16.208,,浸润型肺结核,A16.208
A16.209,空洞型肺结核,A16.207,,空洞型肺结核,A16.207
A16.210,增殖型肺结核,A16.209,,增殖型肺结核,A16.209
A16.211,结核性气胸,A16.204,,结核性气胸,A16.204
A16.212,结核性肺瘘,A16.200x012,,结核性肺瘘,A16.200x012
A16.213,结核性损毁肺,A16.200x013,,结核性损毁肺,A16.200x013
A16.214,结核性大咯血,A16.200x014,,结核性大咯血,A16.200x014
A16.215,结核性肺不张,A16.210,,结核性肺不张,A16.210
A16.301,肺门淋巴结结核,A16.301,,肺门淋巴结结核,A16.301
A16.302,结核性支气管淋巴瘘,A16.300x002,,结核性支气管淋巴瘘,A16.300x002
A16.303,胸壁淋巴结结核,A16.300x003,,胸壁淋巴结结核,A16.300x003
A16.304,胸内淋巴结结核,A16.302,,胸内淋巴结结核,A16.302
A16.305,支气管淋巴结结核,A16.304,,支气管淋巴结结核,A16.304
A16.306,纵隔淋巴结结核,A16.305,,纵隔淋巴结结核,A16.305
A16.307,结核性乳糜胸,A16.300x007,,结核性乳糜胸,A16.300x007
A16.401,喉结核,A16.406,,喉结核,A16.406
A16.402,会厌结核,A16.401,,会厌结核,A16.401
A16.403,气管结核,A16.402,,气管结核,A16.402
A16.404,孤立性气管结核,A16.400x004,,孤立性气管结核,A16.400x004
A16.405,孤立性气管支气管结核,A16.400x005,,孤立性气管支气管结核,A16.400x005
A16.406,支气管结核,A16.404,,支气管结核,A16.404
A16.407,支气管内膜结核,A16.400x007,,支气管内膜结核,A16.400x007
A16.408,结核性支气管瘘,A16.400x001,,结核性支气管瘘,A16.400x001
A16.409,声带结核,A16.403,,声带结核,A16.403
A16.410,结核性气管狭窄,A16.400x010,,结核性气管狭窄,A16.400x010
A16.411,结核性支气管狭窄,A16.400x011,,结核性支气管狭窄,A16.400x011
A16.501,结核性干性胸膜炎,A16.500x001,,结核性干性胸膜炎,A16.500x001
A16.502,结核性脓胸,A16.501,,结核性脓胸,A16.501
A16.503,结核性渗出性胸膜炎,A16.503,,结核性渗出性胸膜炎,A16.503
A16.504,结核性胸膜炎,A16.500x004,,结核性胸膜炎,A16.500x004
A16.505,结核性胸腔积液,A16.502,,结核性胸腔积液,A16.502
A16.507,胸膜结核球[胸膜结核瘤],A16.504,,胸膜结核瘤,A16.504
A16.508,结核性胸膜炎(初治),A16.500x008,,结核性胸膜炎(初治),A16.500x008
A16.509,结核性胸膜炎(复治),A16.500x009,,结核性胸膜炎(复治),A16.500x009
A16.510,结核性包裹性脓胸,A16.500x010,,结核性包裹性脓胸,A16.500x010
A16.511,结核性脓气胸,A16.505,,结核性脓气胸,A16.505
A16.701,肺结核原发综合征,A16.700x001,,肺结核原发综合征,A16.700x001
A16.702,原发性肺结核,A16.700x002,,原发性肺结核,A16.700x002
A16.801,鼻部结核,A16.804,,鼻结核,A16.804
A16.802,干酪性鼻窦炎,A16.800x002,,干酪性鼻窦炎,A16.800x002
A16.803,干酪性鼻炎[结核性鼻炎],A16.800x003,,干酪性鼻炎[结核性鼻炎],A16.800x003
A16.804,咽部结核,A16.806,,咽部结核,A16.806
A16.805,纵隔结核瘤,A16.807,,纵隔结核,A16.807
A16.901,结核病,A16.900x001,,结核病,A16.900x001
A16.902,结核感染,A16.900x002,,结核感染,A16.900x002
A16.903,呼吸道结核病,A16.900,,呼吸道结核,A16.900
A17.001+G05.0*,结核性脊膜炎,A17.000x001,?G05.0*,结核性脊膜炎,A17.000x001+G05.0*
A17.002+G01*,结核性脑脊髓膜炎,A17.001?,G01*,结核性脑脊髓膜炎,A17.001+G01*
A17.003+G01*,结核性脑膜炎,A17.000?,G01*,结核性脑膜炎,A17.000+G01*
A17.005+G01*,蛛网膜结核病,A17.000x005,?G01*,蛛网膜结核病,A17.000x005+G01*
A17.006+G01*,结核性脑膜粘连,A17.000x006,?G01*,结核性脑膜粘连,A17.000x006+G01*
A17.007+G05.0*,结核性脊髓膜炎,A17.000x002,,结核性脊髓膜炎,A17.000x002
A17.101+G07*,脑膜结核瘤,A17.100?,G07*,脑膜结核瘤,A17.100+G07*
A17.102+G07*,脑脊膜结核瘤,A17.100x002,,脑脊膜结核瘤,A17.100x002
A17.801+G05.0*,结核性脑膜脑炎,A17.803?,G05.0*,结核性脑膜脑炎,A17.803+G05.0*
A17.802+G07*,结核性脑脓肿,A17.805?,G07*,结核性脑脓肿,A17.805+G07*
A17.803+G07*,结核性脑肉芽肿,A17.802?,G07*,结核性脑肉芽肿,A17.802+G07*
A17.804+G05.0*,结核性脑炎,A17.804?,G05.0*,结核性脑炎,A17.804+G05.0*
A17.806+G07*,脑结核瘤,A17.801?,G07*,脑结核瘤,A17.801+G07*
A17.807+G05.0*,结核性脊髓脊膜炎,A17.800x007,?G05.0*,结核性脊髓脊膜炎,A17.800x007+G05.0*
A17.901+G99.8*,中枢神经系统结核,A17.900x001,?G99.8*,中枢神经系统结核,A17.900x001+G99.8*
A18.001+M90.0*,鼻骨结核,A18.003?,M90.0*,鼻骨结核,A18.003+M90.0*
A18.002+M90.0*,腭骨结核,A18.000x002,?M90.0*,腭骨结核,A18.000x002+M90.0*
A18.003+M90.0*,颌骨结核,A18.000x003,?M90.0*,颌骨结核,A18.000x003+M90.0*
A18.004+H75.0*,乳突结核,A18.000x004,?H75.0*,乳突结核,A18.000x004+H75.0*
A18.005+M90.0*,下颌结核,A18.004?,M90.0*,下颌结核,A18.004+M90.0*
A18.006+M90.0*,颧骨结核,A18.000x006,?M90.0*,颧骨结核,A18.000x006+M90.0*
A18.007+M49.0*,颈椎结核,A18.005?,M49.0*,颈椎结核,A18.005+M49.0*
A18.008+M01.1*,肩关节结核,A18.027?,M01.1*,肩关节结核,A18.027+M01.1*
A18.009+M01.1*,腕关节结核,A18.029?,M01.1*,腕关节结核,A18.029+M01.1*
A18.010+M49.0*,胸椎结核,A18.006?,M49.0*,胸椎结核,A18.006+M49.0*
A18.011+M49.0*,腰椎结核,A18.007?,M49.0*,腰椎结核,A18.007+M49.0*
A18.012+M01.1*,跖趾关节结核,A18.037?,M01.1*,跖趾关节结核,A18.037+M01.1*
A18.013+M49.0*,脊柱结核性截瘫[波特截瘫],A18.000x013,?M49.0*,脊柱结核性截瘫[波特截瘫],A18.000x013+M49.0*
A18.014+M49.0*,骶髂关节结核,A18.032?,M49.0*,骶髂关节结核,A18.032+M49.0*
A18.015+M01.1*,结核性风湿病[篷塞病],A18.000x015,?M01.1*,结核性风湿病[篷塞病],A18.000x015+M01.1*
A18.016+M49.0*,脊柱结核性脓肿,A18.010?,M49.0*,脊柱结核性脓肿,A18.010+M49.0*
A18.017+M68.0*,滑膜结核,A18.041?,M68.0*,滑膜结核,A18.041+M68.0*
A18.018+M73.8*,脊椎结核并椎旁脓肿,A18.000x018,?M73.8*,脊椎结核并椎旁脓肿,A18.000x018+M73.8*
A18.019+M01.1*,关节寒性脓肿[关节结核脓肿],A18.000x019,?M01.1*,关节寒性脓肿[关节结核脓肿],A18.000x019+M01.1*
