北京临床版6.0手术编码,北京临床版6.0手术名称,2.0手术编码
02.01001,颅缝切开术,02.0100
02.01002,线形颅骨切除术,02.0101
02.01003,条带状颅骨切除术,02.0102
02.02002,颅骨骨折减压术,02.0201
02.02003,颅骨骨折清创术,02.0202
02.02001,颅骨骨折复位术,02.0203
02.03001,颅骨骨瓣修补术,02.0300x001
02.04001,颅骨骨移植术,02.0400
02.04003,颅骨膜移植术,02.0400x003
02.05004,颅骨硅橡胶板置入术,02.0500x004
02.05005,颅骨有机玻璃板置入术,02.0500x005
02.05002,颅骨钛板置入术,02.0502
02.06003,颅骨修补术,02.0600x003
02.07001,颅骨金属板去除术,02.0700
02.11001,硬脑膜缝合术,02.1100x001
02.12007,脑膜膨出修补术[还纳术],02.1202
02.12001,脑脊液鼻瘘修补术,02.1204
02.12005,脑脊液耳瘘修补术,02.1205
02.12006,脑脊液切口瘘修补术,02.1206
02.12009,人工硬脑膜补片修补术,02.1209
02.13001,脑膜血管结扎术,02.1300
02.14001,脉络丛切除术,02.1400
02.14002,脉络丛烧灼术,02.1401
02.42001,脑室导管置换术,02.2100x002
02.2007,颅内镜下第三脑室造瘘术,02.2200x001
02.2006,脑室-静脉窦分流术,02.2200x005
02.2001,脑室-脑池分流术,02.2206
02.2004,脑室-蛛网膜下腔分流术,02.2207
02.2005,脑室－小脑延髓池分流术[Torkildsen手术],02.2210
02.31002,脑室-乳突分流术,02.3102
02.31001,脑室-鼻咽分流术,02.3103
02.32001,脑室-颈外静脉分流术,02.3200x001
02.32003,脑室-心房分流术,02.3201
02.32002,脑室-腔静脉分流术,02.3202
02.33001,脑室-胸腔分流术,02.3300x001
02.34002,脑室-腹腔分流术,02.3400x002
02.34001,脑室-胆囊分流术,02.3402
02.35001,脑室-输尿管分流术,02.3502
02.39004,脑室-骨髓分流术,02.3901
02.41001,脑室分流管冲洗术,02.4101
02.41003,脑室分流管探查术,02.4102
02.42002,脑室分流管置换术,02.4200
02.42003,脑室-腹膜分流管脑室端修正术,02.4201
02.42004,脑室分流管修正术,02.4202
02.43001,脑室分流管去除术,02.4300
02.91001,大脑皮层粘连松解术,02.9100
02.93002,颅内神经刺激器置入术,02.9301
02.93003,颅内神经刺激器置换术,02.9302
02.94001,颅钳插入术,02.9401
02.94002,环状钳插入术,02.9402
02.94003,颅钳置换术,02.9403
02.94004,环状钳置换术,02.9404
02.95001,颅钳牵引装置去除术,02.9501
02.95002,环状钳牵引装置去除术,02.9502
02.96001,蝶骨电极插入术,02.9600
02.99001,导水管粘连松解术,02.9901
03.01001,椎管内异物去除术,03.0100x001
03.4006,椎管内病损切除术,03.0100x002
03.02001,椎板切除术部位再切开,03.0200
03.09003,颈椎后路单开门椎管减压术,03.0900x003
03.09004,颈椎后路双开门椎管减压术,03.0900x004
03.09005,颈椎前路椎管减压术,03.0900x005
03.09006,腰椎椎板切除减压术,03.0900x006
03.09007,胸椎椎板切除减压术,03.0900x007
03.09009,椎管成形术,03.0900x009
03.09010,椎管减压术,03.0900x010
03.09014,椎管钻孔减压术,03.0900x014
03.09016,椎间孔切开术,03.0900x016
03.09015,椎管探查术,03.0901
03.1001,脊髓内神经根切断术,03.1x00
03.1003,马尾神经切断术,03.1x00x003
03.21001,经皮脊髓切断术,03.2100x001
03.21002,立体定向脊髓切断术,03.2101
03.29001,脊髓前外侧束切断术,03.2901
03.29002,脊髓神经束切断术,03.2902
03.31002,腰椎穿刺,03.3101
03.32002,硬脊膜活组织检查,03.3201
03.32001,脊髓活组织检查,03.3202
03.4002,脊髓病损栓塞术,03.4x00x002
03.4004,硬脊膜切除术,03.4x00x004
03.4003,硬脊膜囊肿造袋术,03.4x02
03.51003,脑脊膜膨出修补术,03.5100x003
03.52001,脊髓脊膜膨出修补术,03.5200
03.53002,脊椎骨折修补术,03.5300
03.53001,脊椎骨折复位术,03.5300x001
03.59004,脊柱裂修补术,03.5901
03.59003,脊髓纵裂修补术,03.5902
03.59005,脊膜修补术,03.5903
03.6008,脊髓终丝切断术,03.6x00x008
03.6007,脊髓粘连松解术,03.6x01
03.6005,脊髓神经根粘连松解术,03.6x02
03.6001,脊髓蛛网膜粘连松解术,03.6x03
03.71001,脊髓蛛网膜下腔-腹腔分流术,03.7100
03.72001,脊髓蛛网膜下腔-输尿管分流术,03.7200
03.79002,脊髓-蛛网膜下腔分流术,03.7900x002
03.79001,脊髓-硬膜外分流术,03.7901
03.8002,椎管内注射无水酒精,03.8x01
03.90001,连续硬膜外阻滞术,03.9000x001
03.91002,椎管内置管止痛术,03.9101
03.92002,椎管内注射药物,03.9200
03.92001,椎管内注射封闭,03.9200x001
03.92003,脑脊液置换,03.9201
03.93001,脊髓电刺激电极置入术,03.9301
03.94001,骶神经刺激电极取出术,03.9400x001
03.95001,脊髓血块补片,03.9500
03.96001,经皮椎骨关节面去神经术,03.9600
03.97001,脊髓膜分流修正术,03.9700x001
03.98001,脊髓蛛网膜下腔-腹腔分流管去除术,03.9801
03.99003,脊髓造瘘术,03.9900x003
04.01001,听神经瘤切除术,04.0100
04.01003,听神经切断术,04.0100x003
04.01004,前庭神经切断术,04.0103
04.02001,经颞下三叉神经根切断术[Frazier手术],04.0202
04.03002,闭孔神经切断术,04.0300x002
04.03009,颈神经后根切断术,04.0300x009
04.03010,腰骶神经后根切断术,04.0300x010
04.03005,颅神经切断术,04.0301
04.07013,面神经切断术,04.0303
04.03006,鼻外侧神经切断术,04.0304
04.03007,指神经切断术,04.0305
04.03015,趾神经切断术,04.0306
04.03011,运动神经切断术,04.0307
04.03012,坐骨神经切断术,04.0308
04.03004,胫神经肌支切断术,04.0309
04.04025,牙槽神经探查术,04.0400x025
04.42005,面神经解剖术,04.0401
04.04006,颅神经探查术,04.0402
04.04026,视神经切开术,04.0403
04.04007,面神经探查术,04.0404
04.04004,喉返神经探查术,04.0405
04.04021,副神经探查术,04.0406
04.04001,臂丛神经探查术,04.0410
04.04023,腰丛神经探查术,04.0411
04.04022,骶丛神经探查术,04.0412
04.04014,坐骨神经探查术,04.0414
04.04018,腋神经探查术,04.0415
04.04019,肌皮神经探查术,04.0416
04.04020,肩胛上神经探查术,04.0417
04.04011,正中神经探查术,04.0418
04.04002,尺神经探查术,04.0419
04.04009,桡神经探查术,04.0420
04.04012,指神经探查术,04.0421
04.04003,股神经探查术,04.0423
04.04005,胫神经探查术,04.0424
04.04024,腓总神经探查术,04.0425
04.04013,足底神经探查,04.0426
04.05001,半月神经节切除术,04.0500
04.07003,滑车神经撕脱术,04.0701
04.07028,三叉神经撕脱术,04.0702
04.07007,眶上神经撕脱术,04.0703
04.07008,眶下神经撕脱术,04.0704
04.07010,颅神经病损切除术,04.0707
04.07022,视神经病损切除术,04.0708
04.07014,面神经病损切除术,04.0710
04.07002,鼓室神经丛切除术,04.0712
04.07015,周围神经病损切除术,04.0713
04.07005,颈神经病损切除术,04.0714
04.07026,颅神经切除术,04.0722
04.07023,视神经切除术,04.0723
04.07027,周围神经切除术,04.0731
04.07009,肋间神经切除术,04.0732
04.11001,闭合性颅神经活组织检查,04.1101
04.11002,闭合性周围神经活组织检查,04.1102
04.12001,直视下颅神经活组织检查,04.1201
04.12002,直视下周围神经活组织检查,04.1202
04.2001,肋间神经冷冻镇痛术,04.2x00x001
04.2005,舌咽神经射频消融术,04.2x01
04.2003,周围神经破坏术,04.2x02
04.2009,周围神经神经烧灼术,04.2x03
04.2008,脊神经破坏术,04.2x04
04.2004,三叉神经射频消融术,04.2x07
04.2007,翼腭神经节破坏术,04.2x09
04.2002,肋间神经射频消融术,04.2x11
04.3012,臂丛神经上、中、下干缝合术,04.3x00x012
04.74030,耳大神经吻合术,04.3x00x025
04.74009,腓总神经吻合术,04.3x00x026
04.74019,迷走神经干吻合术,04.3x00x028
04.3004,颅神经缝合术,04.3x01
04.3015,骶丛神经缝合术,04.3x07
04.3016,腰丛神经缝合术,04.3x08
04.3009,肌皮神经缝合术,04.3x09
04.3006,正中神经缝合术,04.3x10
04.3002,尺神经缝合术,04.3x11
04.3013,桡神经缝合术,04.3x12
04.3007,指神经缝合术,04.3x13
04.3001,闭孔神经缝合术,04.3x14
04.3014,胫神经缝合术,04.3x17
04.3008,腓神经缝合术,04.3x18
04.41003,三叉神经减压术,04.4100x003
04.42007,枕下神经减压术,04.4200x007
04.42009,视神经减压术,04.4201
04.42006,面神经减压术,04.4203
04.42010,听神经减压术,04.4206
04.42008,舌咽神经减压术,04.4208
04.42004,迷走神经减压术,04.4211
04.49011,喉返神经松解术,04.4212
04.42001,副神经减压术,04.4213
04.43004,腕管松解术,04.4300
04.43001,关节镜下腕管松解术,04.4301
04.44002,跗管松解术,04.4400
04.49002,臂丛神经松解术,04.4901
04.49018,舌神经根松解术,04.4902
04.49019,神经根管松解术,04.4903
04.49032,腰丛神经松解术,04.4904
04.49006,骶神经松解术,04.4905
04.49013,马尾神经松解术,04.4906
04.49024,正中神经松解术,04.4907
04.49005,尺神经松解术,04.4908
04.49017,桡神经松解术,04.4909
04.49031,坐骨神经松解术,04.4911
04.49012,胫神经松解术,04.4914
04.49009,腓总神经松解术,04.4915
04.49007,腓神经松解术,04.4916
04.49030,足神经松解术,04.4917
04.49025,跖间神经松解术,04.4918
04.49026,趾间神经松解术,04.4919
04.5005,颅神经移植术,04.5x00x005
04.5009,耳大神经移植术,04.5x00x009
04.5007,面神经移植术,04.5x01
04.5001,尺神经移值术,04.5x04
04.5011,桡神经移植术,04.5x05
04.5002,腓肠神经移植术,04.5x10
04.6010,同侧神经根移位术,04.6x00x010
04.6008,副神经移位术,04.6x01
04.6011,健侧颈7神经移位术,04.6x05
04.6001,肋间神经移位术,04.6x06
04.6007,胸背神经移位术,04.6x07
04.6006,正中神经移位术,04.6x08
04.6002,尺神经移位术,04.6x10
04.6005,指神经移位术,04.6x11
04.6009,膈神经移位术,04.6x12
04.71001,舌下神经-面神经吻合术,04.7100
04.72001,面神经－副神经吻合术,04.7200
04.73001,副神经-舌下神经吻合术,04.7300
04.74018,颅神经吻合术,04.7401
04.74016,面神经吻合术,04.7402
04.74029,牙槽神经吻合术,04.7405
04.74026,指神经吻合术,04.7408
04.74002,尺神经吻合术,04.7409
04.74021,桡神经吻合术,04.7410
04.74025,正中神经吻合术,04.7412
04.74012,肌皮神经吻合术,04.7413
04.74001,闭孔神经吻合术,04.7414
04.74027,坐骨神经吻合术,04.7415
04.74011,股神经吻合术,04.7416
04.74013,胫神经吻合术,04.7417
04.74008,腓神经吻合术,04.7418
04.75001,颅神经修正术,04.7500x001
04.75002,周围神经修正术,04.7500x002
04.75003,正中神经修正术,04.7500x003
04.76002,尺神经延迟修补术,04.7600x002
04.76003,桡神经延迟修补术,04.7600x003
04.76004,皮神经延迟修补术,04.7600x004
04.81003,周围神经麻醉止痛,04.8100x003
04.91001,神经牵伸术,04.9100
04.92003,周围神经刺激器置入术,04.9201
04.92004,周围神经刺激器置换术,04.9202
04.92002,骶神经电刺激器置入术,04.9203
04.93001,周围神经刺激器去除术,04.9300x001
05.0001,交感神经切断术,05.0x00x001
05.0003,腔镜下交感神经切断术,05.0x01
05.11001,交感神经活组织检查,05.1101
05.11002,交感神经节活组织检查,05.1102
05.21001,蝶腭神经节切除术,05.2100
05.22001,颈交感神经切断术,05.2200
05.23002,腰交感神经切除术,05.2300
05.23001,腔镜下腰交感神经切除术,05.2301
05.24001,骶前交感神经切除术,05.2400
05.29002,胸交感神经切除术,05.2903
05.31003,交感神经麻醉剂注射止痛,05.3100
05.32001,交感神经注射破坏剂,05.3200x001
05.81001,交感神经修补术,05.8101
05.81002,交感神经节修补术,05.8102
06.01001,甲状腺区抽吸引流术,06.0100x001
06.02001,甲状腺术后探查止血术,06.0201
06.09004,颈部探查术,06.0900x004
06.09001,甲状腺切开探查术,06.0901
06.09002,甲状腺切开引流术,06.0902
06.09005,甲状旁腺探查术,06.0903
06.11001,甲状腺穿刺活组织检查,06.1100
06.12001,直视下甲状腺活组织检查,06.1200
06.13001,甲状旁腺活组织检查,06.1302
06.2001,单侧甲状腺切除术,06.2x00
06.2003,腔镜下单侧甲状腺切除术,06.2x01
06.2006,单侧甲状腺切除伴甲状腺峡部切除术,06.2x02
06.2005,单侧甲状腺切除伴其他叶部分切除术,06.2x03
06.31001,甲状腺病损切除术,06.3100
06.31003,腔镜下甲状腺病损切除术,06.3101
06.39001,残余甲状腺大部切除术,06.3900x001
06.39003,单侧甲状腺部分切除术,06.3900x003
06.39004,单侧甲状腺次全切除术,06.3900x004
06.39011,腔镜下甲状腺次全切除术,06.3900x011
06.39012,双侧甲状腺部分切除术,06.3900x012
06.39013,双侧甲状腺次全切除术,06.3900x013
06.39006,甲状腺峡部部分切除术,06.3903
06.39009,异位甲状腺切除术,06.3906
06.39010,腔镜下甲状腺部分切除术,06.3908
06.39002,残余甲状腺切除术,06.4x01
06.51002,胸骨后甲状腺部分切除术,06.5100
06.51001,胸骨后甲状腺病损切除术,06.5101
06.52001,胸骨后甲状腺全部切除术,06.5200
06.6001,舌部甲状腺切除术,06.6x00
06.7003,甲状舌管瘘闭合术,06.7x00
06.7005,甲状舌管切除术,06.7x00x003
06.7001,甲状舌管病损切除术,06.7x01
06.81001,甲状旁腺全部切除术,06.8100
06.89005,移植自体甲状旁腺切除术,06.8900x005
06.89006,异位甲状旁腺切除术,06.8901
06.89002,甲状旁腺部分切除术,06.8902
06.89001,甲状旁腺病损切除术,06.8903
06.89004,腔镜下甲状旁腺病损切除术,06.8904
06.91001,甲状腺峡部横断术,06.9100
06.92001,甲状腺血管结扎术,06.9200
06.93001,甲状腺缝合术,06.9300
06.94001,甲状腺自体移植术,06.9401
06.95001,甲状旁腺自体移植术,06.9501
06.98001,甲状腺病损射频消融术,06.9800
07.01001,单侧肾上腺区探查术,07.0100
07.02001,双侧肾上腺区探查术,07.0200
07.11001,肾上腺闭合性活组织检查,07.1100
07.11003,腹腔镜下肾上腺活组织检查,07.1101
07.12002,直视下肾上腺活组织检查,07.1200
07.13001,经额垂体活组织检查,07.1300
07.14001,经蝶骨垂体活组织检查,07.1400
07.15001,垂体活组织检查,07.1500
07.16001,胸腺活组织检查,07.1600
07.17001,松果体活组织检查,07.1700
07.21005,肾上腺病损切除术,07.2100
07.21001,腹腔镜下肾上腺病损切除术,07.2102
07.22001,单侧肾上腺切除术,07.2200
07.22002,腹腔镜下单侧肾上腺切除,07.2201
07.29001,单侧肾上腺大部分切除术,07.2900x001
07.29003,肾上腺部分切除术,07.2900x003
07.29002,腹腔镜下肾上腺部分切除术,07.2902
07.3001,双侧肾上腺切除术,07.3x00
07.41002,肾上腺囊肿切开引流术,07.4100x002
07.41001,肾上腺探查术,07.4101
07.42001,肾上腺神经切断术,07.4200
07.43001,肾上腺血管结扎术,07.4300
07.44001,肾上腺修补术,07.4400
07.45001,肾上腺自体移植术,07.4501
07.51001,松果体探查术,07.5100
07.52001,松果体切开术,07.5200
07.53001,松果体部分切除术,07.5300
07.53002,松果体病损切除术,07.5301
07.54001,松果体全部切除术,07.5400
07.61001,经额垂体病损切除术,07.6100
07.61002,经额垂体部分切除术,07.6100x002
07.62003,经蝶骨垂体部分切除术,07.6200x003
07.62002,经蝶骨垂体病损切除术,07.6201
07.62006,经蝶入路内窥镜下垂体部分切除术,07.6202
07.63001,垂体病损切除术,07.6301
07.64001,经额垂体全部切除术,07.6400
07.65001,经蝶骨垂体全部切除术,07.6500
07.65002,经蝶入路内窥镜下垂体全部切除术,07.6501
07.69001,垂体切除术,07.6900x001
07.71001,垂体窝探查术,07.7100
07.72002,经蝶骨垂体探查术,07.7200x002
07.72003,拉克氏(Rathkes)囊切除术,07.7200x003
07.72004,颅咽管瘤穿刺抽吸术,07.7204
07.79001,空蝶鞍填塞术,07.7901
07.81006,胸腺部分切除术,07.8100
07.81009,CT引导下胸腺病损射频消融术,07.8100x009
07.81005,胸腺病损切除术,07.8101
07.82003,胸腺全部切除术,07.8200
07.82002,胸腺扩大切除术,07.8201
07.83001,胸腔镜下胸腺部分切除术,07.8300
07.83002,胸腔镜下胸腺病损切除术,07.8300x002
07.84001,胸腔镜下胸腺全部切除术,07.8400
07.84002,胸腔镜下胸腺扩大切除术,07.8401
07.91001,胸腺区探查术,07.9100
07.92001,胸腺切开探查术,07.9200x001
07.93001,胸腺修补术,07.9300
07.94001,胸腺移植术,07.9400
07.99001,胸腺固定术,07.9901
08.01001,睑缘切开术,08.0100
08.02001,眼睑缝合后切开术,08.0200
08.09001,眼睑切开探查术,08.0901
08.09004,眼睑粘连松解术,08.0903
08.09002,眼睑切开异物取出术,08.0904
08.11001,眼睑活组织检查,08.1100
08.20003,眉部瘢痕切除术,08.2000x003
08.20005,眼睑瘢痕切除术,08.2000x005
08.20006,眼睑病损切除术,08.2000x006
08.20004,眉部病损切除术,08.2001
08.21001,睑板腺囊肿刮除术,08.2100x001
08.21004,睑板腺脓肿切开引流术,08.2100x004
08.22003,眼睑小病损切除术,08.2200x003
08.22001,睑板腺病损切除术,08.2201
08.23001,眼睑病损板层切除术,08.2300x001
08.24001,眼睑病损全层切除术,08.2400x001
08.25001,眼睑病损破坏术,08.2500
08.31001,额肌瓣矫正术,08.3101
08.32001,上睑缝线悬吊术,08.3200x001
08.32002,硬脑膜异体额肌悬吊术,08.3200x002
08.33001,上睑下垂提上睑肌缩短术,08.3300x001
08.35001,眼弗盖术,08.3500
08.37001,睑下垂矫正过度复位术,08.3700
08.38001,睑退缩矫正术,08.3800
08.41001,眼睑内翻热灼修补术,08.4102
08.42001,眼睑内翻缝合术,08.4202
08.42003,眼睑内翻睑轮匝肌重叠修补术,08.4203
08.43001,眼睑外翻楔形切除修补术,08.4301
08.44001,睑内翻矫正伴睑重建术,08.4401
08.49003,眼睑外翻矫正术,08.4901
08.49002,眼睑内翻矫正术,08.4902
08.51001,睑裂增大术,08.5101
08.52001,眼睑缝合术,08.5200
08.52003,眦缝合术,08.5200x003
08.59001,睑移位矫正术,08.5900x001
08.59004,内眦成形术,08.5900x004
08.59005,外眦成形术,08.5900x005
08.59002,内眦赘皮修补术,08.5901
08.61002,眼睑全厚植皮术,08.6100x002
08.61003,眼睑中厚植皮术,08.6100x003
08.61004,游离皮瓣移植眼睑重建术,08.6100x004
08.61001,局部皮瓣转位眼睑重建术,08.6101
08.62001,粘膜瓣移植眼睑重建术,08.6201
08.64001,眼睑结膜睑板移植重建术,08.6400
08.63002,眉重建术,08.7001
08.71001,眼睑板层伴睑缘重建术,08.7100x001
08.73001,眼睑全层伴睑缘重建术,08.7300x001
08.74002,睑板重建术,08.7400
08.81002,眼睑裂伤缝合术,08.8101
08.81001,眉裂伤吻合术,08.8102
08.82001,眼睑板层及睑缘裂伤修补术,08.8200x001
08.83001,眼睑板层裂伤修补术,08.8300x001
08.84001,眼睑全层及睑缘裂伤修补术,08.8400x001
08.85001,眼睑全层裂伤修补术,08.8500x001
08.86001,下眼睑皱纹切除术,08.8600
08.86002,眼袋切除术,08.8600x002
08.87001,上眼睑皱纹切除术,08.8700
08.89002,异体睑板移植术,08.8900x002
08.63003,重建眉修整术,08.8900x005
08.89003,外眦皱纹切除术,08.8901
08.91001,睫毛电解术,08.9100x001
08.93001,眼睑拔睫毛术,08.9300x001
08.99003,眼睑缝线去除,08.9900x003
08.99002,睫毛重建术,08.9901
09.0001,泪囊切开引流术,09.0x00x001
09.11001,泪腺活组织检查,09.1100
09.12001,泪囊活组织检查,09.1200
09.21001,泪腺病损切除术,09.2100
09.22001,泪腺部分切除术,09.2200x001
09.23001,泪腺全部切除术,09.2300
