医保2.0手术代码,医保2.0手术名称
08.3100,上睑下垂修补术，用额肌法伴缝合术
08.3200,上睑下垂修补术，用额肌法伴筋膜吊带法
08.3300,上睑下垂修补术，用部分切除术或上睑肌或腱膜前徙术
08.3400,上睑下垂修补术，用其他提上睑肌法
08.3600,上睑下垂修补术，用其他方法
08.4100,睑内翻或睑外翻的修补术，用热灼法
08.4200,睑内翻或睑外翻的修补术，用缝合术法
08.4300,睑内翻或睑外翻的修补术伴楔形部分切除术
08.4400,睑内翻或睑外翻的修补术伴睑重建术
08.4900,睑内翻或睑外翻的其他修补术
08.5900,其他眼睑位置调整术
08.6100,用皮瓣或移植物的眼睑重建术
08.6200,用黏膜瓣或移植物的眼睑重建术
08.6300,用毛囊移植片的眼睑重建术
08.7000,眼睑重建术
08.7100,涉及睑缘，板层的眼睑重建术
08.7200,其他板层的眼睑重建术
08.7300,涉及睑缘全层的眼睑重建术
08.7400,其他全层眼睑重建术
08.8100,眼睑或眉裂伤的线形修补术
08.8200,涉及睑缘板层裂伤的修补术
08.8300,眼睑板层裂伤的其他修补术
08.8400,涉及睑缘全层裂伤的修补术
08.8500,眼睑全层裂伤的其他修补术
08.8900,其他眼睑修补术
08.9100,电子外科眼睑拔睫毛术
08.9300,其他眼睑拔睫毛术
08.9900,眼睑其他手术
09.0x00,泪腺切开术
09.2000,泪腺切除术
09.2200,其他部分泪腺切除术
09.3x00,泪腺其他手术
09.4400,鼻泪管插管术
09.4900,泪道其他操作
09.5900,泪道其他切开术
09.6x00,泪囊和泪道切除术
09.7200,泪点其他修补术
09.7300,泪小管修补术
09.8300,结膜鼻腔吻合术伴置入管或支架
09.9900,泪器系统其他手术
10.0x00,切开术去除嵌入结膜异物
10.1x00,结膜其他切开术
10.2900,结膜其他诊断性操作
10.3100,结膜病损或结膜组织的切除术
10.3300,结膜其他破坏性操作
10.4100,用游离移植物的睑球粘连修补术
10.4200,用游离移植物的结膜穹窿重建术
10.4300,结膜穹窿其他重建术
10.4400,结膜其他游离移植
10.4900,其他结膜成形术
10.5x00,结膜和眼睑粘连松解术
10.6x00,结膜裂伤修补术
10.9900,结膜其他手术
11.2100,刮角膜做涂片或培养
11.2900,角膜其他诊断性操作
11.3100,胬肉移位术
11.3900,胬肉其他切除术
11.4100,机械性去除角膜上皮
11.4900,角膜病损的其他去除或破坏术
11.5300,用结膜瓣的角膜裂伤或伤口修补术
11.5900,角膜其他修补术
11.6000,角膜移植
11.6200,其他板层角膜成形术
11.6300,用自体移植物的穿透性角膜成形术
11.6400,其他穿透性角膜成形术
11.6900,其他角膜移植
11.7100,角膜磨镶术
11.7200,角膜镜片术
11.7300,人工角膜
11.7400,角膜热成形术
11.7900,角膜其他重建术和折射手术
11.9100,角膜鲸墨法
11.9200,去除角膜人工植入物
11.9900,角膜其他手术
12.0000,去除眼前节眼内异物
12.0200,不用磁吸法的去除眼前节眼内异物
12.1100,虹膜切开术伴贯穿术
12.1200,其他虹膜切开术
12.1400,其他虹膜切除术
12.3200,其他虹膜前粘连松解术
12.3900,其他虹膜成形术
12.4000,去除眼前节病损
12.4100,虹膜病损破坏术，非切除法
12.4300,睫状体病损破坏术，非切除法
12.5100,眼前房角穿刺不伴眼前房角切开
12.5200,眼前房角切开不伴眼前房角穿刺
12.5500,睫状体分离术
12.5900,其他促进眼内循环
12.6300,虹膜钳顿术和虹膜牵引术
12.6400,外路小梁切除术
12.6500,其他巩膜造口术伴虹膜切除术
12.6900,其他造口术
12.7400,缩减睫状体
12.7900,其他青光眼操作
12.8200,巩膜造口修补术
12.8300,眼前节手术伤口修复术
12.8400,巩膜病损切除术或破坏术
12.8500,用移植物的巩膜葡萄肿修补术
12.8600,巩膜葡萄肿其他修补术
12.8700,用移植物的巩膜加固术
12.8800,其他巩膜加固术
12.8900,巩膜其他手术
12.9100,前房治疗性排空术
12.9200,前房注射
12.9300,前房上皮延生物的去除或破坏术
12.9700,虹膜其他手术
12.9800,睫状体其他手术
12.9900,前房其他手术
13.0000,去除晶状体异物
13.0200,不使用磁吸法的去除晶状体异物
13.1900,晶状体的其他囊内摘出术
13.2x00,晶状体囊外摘出术，用线形摘出法
13.3x00,晶状体囊外摘出术，用单纯抽吸(和冲洗术)法
13.4100,白内障晶状体乳化和抽吸
13.4200,白内障晶状体机械性碎裂术和抽吸，用后入路
13.4300,白内障晶状体机械性碎裂术和其他抽吸
13.5900,晶状体其他囊外摘出术
13.6400,后发膜刺开术[复发性白内障]
13.6500,后发膜切除术[复发性白内障]
13.6900,其他白内障摘出术
13.7100,眼内人工晶状体置入伴白内障摘出术，一期
13.7200,眼内人工晶状体二期置入
13.8x00,去除置入的晶状体
13.9000,晶状体手术
13.9100,眼内镜假体置入
14.0000,去除眼后节异物
14.0200,不用磁吸法去除眼后节异物
14.1900,视网膜、脉络膜、玻璃体和后房的其他诊断性操作
14.2100,用透热法的脉络膜视网膜病损破坏术
14.2200,用冷冻疗法的脉络膜视网膜病损破坏术
14.2300,用氙弧光凝固法的脉络膜视网膜病损破坏术
14.2400,用激光光凝固法的脉络膜视网膜病损破坏术
14.2600,用放射疗法的脉络膜视网膜病损破坏术
14.2700,用放射源植入法的脉络膜视网膜病损破坏术
14.2900,脉络膜视网膜病损的其他破坏术
14.3100,用透热疗法的视网膜裂伤修补术
14.3200,用冷冻疗法的视网膜裂伤修补术
14.3900,视网膜裂伤的其他修补术
14.4900,其他巩膜环扎术
14.5100,用透热疗法的视网膜脱离修补术
14.5200,用冷冻疗法的视网膜脱离修补术
14.5300,用氙弧光凝固法的视网膜脱离修补术
14.5400,用激光光凝固法的视网膜脱离修补术
14.5900,视网膜脱离其他修补术
14.6x00,去除眼后节手术植入物
14.7100,去除玻璃体，前入路
14.7200,玻璃体的其他去除法
14.7300,经前入路的机械性玻璃体切除术
14.7400,其他机械性玻璃体切除术，后入路
14.7500,注射玻璃体替代物
14.7900,玻璃体其他手术
14.9x00,视网膜、脉络膜和后房其他手术
15.0100,眼外肌或腱的活组织检查
15.1900,一条眼外肌从眼球暂时脱离的其他手术
15.2900,一条眼外肌的其他手术
15.3x00,两条或两条以上眼外肌暂时从眼球脱离的手术，单眼或双眼
15.4x00,两条或两条以上眼外肌的其他手术，单眼或双眼
15.9x00,眼外肌和肌腱的其他手术
16.0100,眼眶切开术伴有骨瓣
16.0900,其他眼眶切开术
16.1x00,去除眼穿透性异物
16.2100,检眼镜检查法
16.2300,眼球和眼眶的活组织检查
16.3100,去除眼内容物同时将植入物植入巩膜壳
16.3900,眼球其他内容物剜出术
16.4100,眼球摘除同时伴眼移植物的球囊植入并行肌肉附着术
16.4200,眼球摘除术伴其他植入物
16.4900,眼球其他摘除术
16.5100,去除眼眶内容物剜出术伴去除邻近结构
16.5900,其他眼眶内容物剜出术
16.6100,二期眼植入物置入
16.6200,眼植入物的修复术和再置入术
16.6300,用移植物的眼摘除腔修复术
16.7100,去除眼植入物
16.8100,眼眶伤口修补术
16.8900,眼球或眼眶损伤的其他修补术
16.9300,眼病损切除术
16.9800,眼眶其他手术
17.1100,腹腔镜腹股沟直疝修补术，伴有移植物或假体
17.1200,腹腔镜腹股沟斜疝修补术，伴有移植物或假体
17.1300,腹腔镜腹股沟疝修补术，伴有移植物或假体
17.2100,腹腔镜双侧腹股沟直疝修补术，伴有移植物或假体
17.2200,腹腔镜双侧腹股沟斜疝修补术，伴有移植物或假体
17.2300,腹腔镜双侧腹股沟疝修补术，一侧为直疝，另一侧为斜疝，伴有移植物或假体
17.2400,腹腔镜双侧腹股沟疝修补术，伴有移植物或假体
17.3900,其他腹腔镜大肠部分切除术
17.4900,其他和未特指的机器人援助操作
17.5500,经管腔冠状动脉粥样硬化切除术
17.5600,其他非冠状血管粥样硬化切除术
17.6100,诱导下脑组织或脑损害的激光间质热疗法[LITT]
17.6200,头和颈部损害或组织在诱导下的激光间质热疗法[LITT]
17.6300,诱导下肝组织或肝损害的激光间质热疗法[LITT]
17.6900,诱导下其他和未特指部位组织或部位损害的激光间质热疗法[LITT]
18.0100,耳垂造孔(扎耳朵眼)
18.0200,外耳道切开术
18.0900,外耳其他切开术
18.2100,耳前窦道切除术
18.2900,外耳其他病损切除术或破坏术
18.3900,外耳其他切除术
18.5x00,耳前突矫正术
18.6x00,外耳道重建术
18.7100,耳廓建造术
18.7900,外耳其他整形术
18.9x00,外耳其他手术
19.0x00,镫骨撼动术
19.1900,其他镫骨切除术
19.2900,镫骨切除术的其他修复术
19.3x00,听骨链的其他手术
19.4x00,鼓膜成形术
19.6x00,鼓室成形术的修复术
19.9x00,中耳其他修补术
20.0100,鼓膜切开术伴置管
20.0900,其他鼓膜切开术
20.1x00,去除鼓室造口术置管
20.2100,乳突切开术
20.2300,中耳切开术
20.3200,中耳和内耳活组织检查
20.3900,中耳和内耳其他诊断性操作
20.4200,根治性乳突切除术
20.4900,其他乳突切除术
20.5900,中耳其他切除术
20.6100,内耳开窗术(初次)
20.7900,内耳其他切开术、切除术和破坏术
20.8x00,咽鼓管手术
20.9200,乳突切除术的修复术
20.9300,卵圆窗和圆窗修补术
20.9600,耳蜗假体装置置入或置换术
20.9700,耳蜗假体装置置入或置换术，单道
20.9800,耳蜗假体装置置入或置换术，多道
20.9900,中耳和内耳其他手术
21.0000,控制鼻出血
21.0300,控制鼻出血，用烧灼术(和填塞术)
21.0700,控制鼻出血，用切除鼻黏膜并在鼻中隔和鼻侧壁植皮
21.0900,控制鼻出血，用其他方法
21.1x00,鼻切开术
21.3000,鼻病损切除术或破坏术
21.3100,鼻内病损局部切除术或破坏术
21.3200,鼻其他病损局部切除术或破坏术
21.6100,用透热疗法或冷冻手术的鼻甲切除术
21.6900,其他鼻甲切除术
21.8200,鼻瘘修补术
21.8300,全鼻重建术
21.8400,修正性鼻成形术
21.8500,增补性鼻成形术
21.8600,局限性鼻成形术
21.8700,其他鼻成形术
21.8800,其他中隔成形术
21.8900,鼻其他修补术和整形术
21.9900,鼻其他手术
22.0000,鼻窦抽吸和灌洗
22.0100,鼻窦穿刺，为抽吸或灌洗
22.1900,鼻窦其他诊断性操作
22.2x00,鼻内上颌窦切开术
22.3100,根治性上颌窦切开术
22.3900,其他经鼻外上颌窦切开术
22.4100,额窦切开术
22.4200,额窦切除术
22.5000,鼻窦切开术
22.5200,蝶窦切开术
22.6000,鼻窦切除术
22.6200,经其他入路上颌窦病损切除术
22.7100,鼻窦瘘闭合术
22.7900,鼻窦其他修补术
22.9x00,鼻窦其他手术
23.0900,拔除其他牙
23.1900,其他手术拔牙
23.3x00,牙齿镶嵌修复
23.4900,其他牙修复
23.5x00,种植牙
23.6x00,假牙置入
23.7000,根管治疗
24.0x00,牙龈或牙槽骨的切开术
24.3100,牙龈病损或组织的切除术
24.3200,牙龈裂伤缝合术
24.3900,牙龈其他手术
24.4x00,颌骨上牙病损切除术
24.5x00,牙槽成形术
24.6x00,牙暴露
24.7x00,牙矫正器的应用
24.8x00,其他牙矫形手术
24.9100,唇颊沟或舌沟的延伸或加深术
25.1x00,舌病损或组织切除术或破坏术
25.4x00,根治性舌切除术
25.5100,舌裂伤缝合术
25.5900,舌其他修补术和整形术
25.9100,舌系带切开术
25.9400,其他舌切开术
25.9900,舌的其他手术
26.0x00,涎腺或管的切开术
26.1100,闭合性[针吸]涎腺或管的活组织检查
26.1200,开放性涎腺或管的活组织检查
26.1900,涎腺和管的其他诊断性操作
26.2100,涎腺囊肿袋形缝术[造袋术]
26.2900,涎腺病损的其他切除术
26.3100,部分涎腺切除术
26.3200,全部涎腺切除术
26.4100,涎腺裂伤缝合术
26.4200,涎腺瘘闭合术
26.4900,涎腺或管的其他修补术和整形术
26.9100,涎腺管探通术
26.9900,涎腺或管的其他手术
27.0x00,面和口底引流术
27.1x00,腭切开术
27.2200,悬雍垂和软腭的活组织检查
27.2400,口活组织检查
27.2900,口腔其他诊断性操作
27.3100,硬腭病损或组织的局部切除术或破坏术
27.3200,硬腭病损或组织的广泛切除术或破坏术
27.4300,唇病损或组织的其他切除术
27.4900,口的其他切除术
27.5300,口瘘管闭合术
27.5500,唇和口的全层皮肤移植
27.5600,唇和口的其他皮肤移植
27.5700,唇和口的带蒂皮瓣或皮瓣移植
27.5900,口的其他整形修补术
27.6200,腭裂矫正术
27.6300,腭裂修补术后的修复术
27.6900,腭的其他整形术
27.7900,腭垂的其他手术
27.9100,唇系带切开术
27.9200,口切开术
27.9900,口腔其他手术
28.0x00,扁桃体和扁桃体周围结构的切开引流术
28.1100,扁桃体和腺样增殖体的活组织检查
28.2x00,扁桃体切除术不伴腺样增殖体切除术
28.3x00,扁桃体切除术伴腺样增殖体切除术
28.6x00,腺样增殖体切除术不伴扁桃体切除术
28.7x00,扁桃体切除术和腺样增殖体切除术后出血的控制
28.9200,扁桃体和腺样增殖体病损的切除术
29.0x00,咽切开术
29.1200,咽活组织检查
29.2x00,鳃裂囊肿或遗迹切除术
29.3300,咽切除术(部分)
29.3900,咽病损或组织的其他切除术或破坏术
29.4x00,咽整形术
29.5200,鳃裂瘘闭合术
29.5300,咽其他瘘管的闭合术
29.5900,咽的其他修补术
29.9100,咽扩张
29.9200,舌咽神经切断
30.0900,喉病损或组织的其他切除术或破坏术
30.2900,其他部分喉切除术
30.4x00,根治性喉切除术
31.1x00,暂时性气管造口术
31.2100,纵隔气管造口术
31.2900,其他永久性气管造口术
31.3x00,喉或气管的其他切开术
31.4200,喉镜检查和其他气管镜检查
31.4300,闭合性[内镜]喉活组织检查
31.4400,闭合性[内镜]气管活组织检查
31.4500,开放性喉或气管活组织检查
31.5x00,气管病损或组织的局部切除术或破坏术
31.6200,喉瘘闭合术
31.6900,喉的其他修补术
31.7100,气管裂伤缝合术
31.7200,气管外瘘管闭合术
31.7300,气管其他瘘管的闭合术
31.7500,气管重建术和人工喉建造术
31.7900,气管其他修补术和整形术
31.9100,喉神经切断术
31.9200,气管或喉粘连的松解术
31.9300,喉或气管支架置换术
31.9800,喉的其他手术
31.9900,气管的其他手术
32.0100,内镜下支气管病损或组织切除术或破坏术
32.0900,支气管病损或组织的其他局部切除术或破坏术
32.1x00,支气管的其他切除术
32.2000,胸腔镜下肺组织或病损的切除术
32.2300,开放性消融肺的病损或肺组织
32.2400,经皮消融肺的病损或肺组织
32.2500,胸腔镜下消融肺的病损或肺组织
32.2800,内镜下肺病损或肺组织的切除术或破坏术
32.2900,肺病损或组织的其他局部切除术或破坏术
32.3000,胸腔镜肺叶节段切除术
32.3900,其他和未特指的肺叶节段切除术
32.4900,其他肺叶切除术
32.5000,胸腔镜下肺切除术
32.5900,其他和未特指的肺切除术
32.6x00,胸腔结构的根治性清扫术
33.0x00,支气管切开术
33.1x00,肺切开术
33.2200,光导纤维支气管镜检查
33.2300,其他支气管镜检查
33.2400,闭合性[内镜的]支气管活组织检查
33.2500,开放性支气管活组织检查
33.2600,闭合性[经皮][针吸]肺活组织检查
33.2700,闭合性肺内镜活组织检查
33.2800,开放性肺活组织检查
33.3100,膈神经破坏术用于肺萎陷
33.3200,人工气胸用于肺萎陷
33.3900,肺的其他手术性萎陷
33.4200,支气管瘘闭合术
33.4300,肺裂伤闭合术
33.4800,支气管的其他修补术和整形术
33.4900,肺其他修补术和整形术
33.7100,内镜支气管瓣膜置入或置换，单叶
33.7300,经内镜置入或置换支气管瓣膜，多叶
33.7800,内镜下去除支气管装置或物质
33.7900,内镜下置入其他支气管装置或物质
33.9100,支气管扩张
33.9300,肺穿刺
33.9900,肺的其他手术
34.0100,胸壁切开术
34.0200,探查性胸廓切开术
34.0300,近期胸廓切开部位的再切开
34.0400,肋间导管置入用于引流
34.0900,胸膜其他切开术
34.1x00,纵隔切开术
34.2100,经胸膜胸腔镜检查
34.2400,其他胸膜活组织检查
34.2700,横膈活组织检查
34.3x00,纵隔病损或组织的切除术或破坏术
34.4x00,胸壁病损的切除术或破坏术
34.5100,肺皮质剥除术
34.5900,胸膜其他切除术
34.7300,胸其他瘘管闭合术
34.7400,胸变形修补术
34.7900,胸壁其他修补术
34.8100,横膈病损或横膈组织切除术
34.8300,横膈瘘闭合术
34.8400,横膈其他修补术
34.8900,横膈其他手术
34.9100,胸腔穿刺术
34.9200,胸腔内注射
34.9900,胸其他手术
35.0000,闭合性心脏瓣膜切开术
35.0100,闭合性心脏瓣膜切开术，主动脉瓣
35.0200,闭合性心脏瓣膜切开术，二尖瓣
35.0300,闭合性心脏瓣膜切开术，肺动脉瓣
35.0400,闭合性心脏瓣膜切开术，三尖瓣
35.0500,血管内主动脉瓣置换
35.0600,经心尖主动脉瓣置换
35.0700,血管内肺动脉瓣置换
35.0800,经心尖肺动脉瓣置换
35.1100,无置换的开放性主动脉瓣成形术
35.1200,无置换的开放性二尖瓣成形术
35.1300,无置换的开放性肺动脉瓣成形术
35.1400,无置换的开放性三尖瓣成形术
35.2000,心脏瓣膜切开和其他置换术
35.2100,主动脉瓣切开和其他置换伴有组织移植物
35.2200,主动脉瓣切开和其他置换术
35.2300,二尖瓣切开和其他置换术伴有组织移植物
35.2400,二尖瓣切开和其他置换术
35.2500,肺动脉瓣切开和其他置换术伴有组织移植物
35.2600,肺动脉瓣切开和其他置换术
35.2700,三尖瓣切开和其他置换术伴有组织移植物
35.2800,三尖瓣切开和其他置换术
35.3100,乳头肌手术
35.3200,腱索手术
35.3300,瓣环成形术
35.3400,动脉圆锥切除术
35.3500,心肉柱手术
35.3900,心脏瓣膜其他邻近结构的手术
35.4100,已存在的房间隔缺损扩大术
35.4200,建造心脏间隔缺损
35.5100,心房间隔缺损的假体修补术，切开法
35.5200,心房间隔缺损假体修补术，闭合法
35.5300,心室间隔缺损假体修补术，切开法
35.5400,心内膜垫缺损假体修补术
35.5500,假体心室间隔修补术，闭合法
35.6100,用组织移植物的心房间隔缺损修补术
35.6200,用组织移植物的心室间隔缺损修补术
35.6300,用组织移植物的心内膜垫缺损修补术
35.7100,心房间隔缺损的其他和未特指的修补术
35.7200,心室间隔缺损的其他和未特指的修补术
35.7300,心内膜垫缺损的其他和未特指的修补术
35.8100,法洛四联症全部修补术
35.8200,全部异常肺静脉连接的修补术
35.8300,动脉干全部修补术
35.8400,大血管移位的全部矫正术
35.9100,心房内静脉回流转位术
35.9200,建立右心室和肺动脉通道
35.9300,建立左心室和主动脉间通道
35.9400,建立心房和肺动脉间通道
35.9500,心脏矫正性操作的修复术
35.9600,经皮球囊瓣膜成形术
35.9700,经皮二尖瓣修补伴植入
35.9800,心脏间隔的其他手术
35.9900,心脏瓣膜的其他手术
36.0300,开胸冠状动脉血管成形术
36.0600,非-药物洗脱冠状动脉支架置入
36.0900,冠状动脉梗阻的其他去除术
36.1000,主动脉冠状动脉旁路移植，为心脏血管再形成术
36.1700,腹动脉-冠状动脉旁路移植
36.1900,其他搭桥吻合术，为心脏血管再形成术
36.3100,开胸经心肌的血管再形成术
36.3900,其他心脏血管再形成术
36.9900,心脏血管的其他手术
37.0x00,心包穿刺术
37.1000,心脏切开术，未特指部位
37.1100,心脏切开术
37.1200,心包切开术
37.2500,心脏活组织检查
37.2600,侵入性电生理测定导管术
37.2900,心脏和心包的其他诊断性操作
37.3100,心包切除术
37.3200,心脏动脉瘤切除术
37.3300,心脏其他病损或组织的切除术或破坏术，开放性入路
37.3400,心脏其他病损或组织的切除术或破坏术，血管内入路
37.3500,部分心室切除术
37.3600,左心耳破坏或切除术（LAA）
37.3700,其他心脏组织或病损消融、切除或破坏，胸腔镜入路
37.4900,心脏和心包的其他修补术
37.5200,全部内置式双心室心脏置换系统植入
37.5300,置换或修补全部置换心脏系统的胸腔装置
37.6100,搏动性球囊置入
37.6200,暂时性非植入型体外循环辅助系统的置入
37.6300,心脏辅助系统修补术
37.6400,去除外置式心脏辅助系统或装置
37.6500,单心室（体外）外置式心脏辅助系统置入
37.6600,置入可植入型心脏的辅助系统
37.6800,经皮置入外部心脏辅助装置
37.7400,置入或置换心外膜导线[电极]
37.7500,导线[电极]修复术
37.7600,经静脉心房和（或）心室导线[电极]的置换
37.7700,去除导线[电极]，不伴置换
37.7900,心脏装置的囊袋修复术或再定位术
37.8000,首次或置换永久起搏器置入
37.8100,首次单腔装置置入
37.8200,首次单腔装置置入，节律反应
37.8300,首次置入双腔装置
37.8500,置换任何类型的带有单腔装置的起搏装置
37.8600,置换任何类型带有单腔装置的起搏器装置，节律反应
37.8700,置换任何类型带有双腔装置的起搏器装置
37.8900,起搏器装置的校正或去除
37.9000,左心附加装置的置入
37.9200,治疗性物质注入心脏
37.9300,治疗性物质注入心包
37.9400,自动心脏复律器或除颤器的置入或置换，全系统[AICD]
37.9500,仅自动心脏复律器或除颤器导线的置入术
